number,region,area_sqm,num_rooms,num_bathrooms,building_age
1078,강남,189,3,3,10
1079,,103,1,3,7
1080,기타,142,1,2,9
1081,기타,104,1,3,32
1082,마포,57,2,2,28
1083,기타,144,3,2,29
1084,강남,130,5,2,0
1085,강북,132,1,2,29
1086,강북,188,1,3,14
1087,마포,180,2,3,31
1088,강북,129,3,1,11
1089,마포,124,1,1,18
1090,마포,94,5,3,21
1091,강남,76,2,3,10
1092,서초,169,5,3,33
1093,강북,58,5,1,37
1094,마포,143,5,3,18
1095,서초,97,4,1,9
1096,강남,72,1,1,2
1097,서초,51,1,2,33
1098,마포,79,5,2,28
1099,강남,193,4,1,21
1100,서초,145,5,3,12
1101,서초,165,1,,13
1102,서초,93,2,2,10
1103,서초,161,5,3,3
1104,서초,125,5,3,25
1105,서초,53,5,2,25
1106,강남,166,4,3,2
1107,강북,83,2,1,7
1108,서초,188,1,2,6
1109,강남,102,1,3,10
1110,마포,61,1,2,9
1111,서초,134,2,3,20
1112,강북,177,5,1,24
1113,강북,96,3,3,10
1114,,115,2,3,15
1115,서초,93,3,3,38
1116,기타,76,2,2,11
1117,강남,81,2,1,31
1118,서초,189,1,2,12
1119,강북,170,5,3,26
1120,마포,114,3,2,26
1121,강북,91,5,1,21
1122,강남,156,1,3,6
1123,강남,137,2,1,7
1124,서초,149,4,1,12
1125,강남,64,3,2,20
1126,마포,141,5,1,0
1127,마포,170,4,2,36
1128,강남,179,4,2,32
1129,서초,150,3,2,11
1130,서초,74,3,3,
1131,강남,126,1,3,20
1132,강남,51,3,2,25
1133,마포,161,4,3,13
1134,서초,125,4,2,35
1135,마포,131,1,3,5
1136,강남,195,5,3,36
1137,강남,187,2,2,38
1138,강북,196,1,1,
1139,강남,172,3,1,16
1140,기타,185,4,1,20
1141,서초,53,1,1,37
1142,마포,187,4,1,25
1143,강북,125,1,1,31
1144,강남,155,4,1,16
1145,강남,125,3,1,33
1146,강남,90,5,1,6
1147,마포,108,1,1,20
1148,강남,104,5,1,13
1149,강남,89,5,2,27
1150,기타,103,4,2,10
1151,강북,51,3,3,0
1152,서초,164,1,2,14
1153,강북,151,5,1,6
1154,강북,148,4,1,37
1155,마포,135,2,3,5
1156,기타,111,3,1,
1157,강북,101,,2,5
1158,서초,141,3,3,6
1159,기타,50,1,3,10
1160,마포,84,,1,4
1161,서초,135,1,2,4
1162,강남,116,4,2,24
1163,강남,177,5,1,23
1164,서초,80,3,3,29
1165,마포,91,3,2,15
1166,서초,56,4,3,34
1167,서초,66,1,3,4
1168,서초,86,1,3,23
1169,강북,189,1,3,22
1170,기타,67,1,3,19
1171,서초,81,4,3,5
1172,마포,148,2,1,33
1173,마포,77,3,3,33
1174,강남,192,5,2,2
1175,마포,133,1,3,21
1176,강남,55,1,1,26
1177,강북,84,3,3,36
1178,강남,70,4,3,37
1179,강북,76,2,2,31
1180,서초,126,4,2,25
1181,마포,116,3,1,29
1182,서초,192,3,3,11
1183,마포,194,3,2,2
1184,강북,173,1,3,20
1185,강남,198,2,3,23
1186,마포,110,1,2,38
1187,서초,110,1,,20
1188,강남,123,4,2,19
1189,강북,195,3,1,4
1190,강북,123,1,3,31
1191,강남,147,3,1,38
1192,서초,141,1,1,35
1193,강남,75,4,1,35
1194,강북,68,4,1,7
1195,서초,148,3,2,38
1196,마포,64,4,1,37
1197,서초,99,2,3,37
1198,기타,165,2,2,7
1199,강남,73,2,1,19
1200,강북,156,2,1,24
1201,강남,125,4,2,23
1202,기타,98,3,1,1
1203,서초,73,1,3,8
1204,서초,87,4,2,22
1205,강북,173,4,2,39
1206,강남,177,5,,7
1207,강남,181,1,1,8
1208,기타,113,2,2,8
1209,기타,129,2,3,20
1210,강북,51,1,1,16
1211,마포,67,1,1,10
1212,서초,112,4,1,21
1213,서초,110,1,3,26
1214,서초,66,1,1,4
1215,서초,53,2,2,2
1216,,79,2,1,3
1217,강북,174,3,2,8
1218,기타,181,2,1,33
1219,강남,153,4,1,
1220,강남,175,2,1,5
1221,강북,196,3,3,10
1222,서초,68,1,1,2
1223,강북,101,3,3,39
1224,마포,84,5,2,26
1225,서초,153,1,3,28
1226,서초,145,3,1,27
1227,서초,72,5,3,11
1228,서초,109,5,3,
1229,서초,105,5,1,3
1230,강북,156,1,1,8
1231,강남,149,4,1,1
1232,서초,64,1,3,24
1233,서초,115,4,1,21
1234,강남,196,1,1,21
1235,강북,143,5,,7
1236,강남,125,3,1,1
1237,마포,128,2,2,12
1238,기타,146,1,1,14
1239,마포,170,2,2,8
1240,기타,116,2,3,3
1241,강남,143,5,1,36
1242,강남,105,2,1,35
1243,강남,74,3,3,39
1244,강남,82,2,3,28
1245,마포,184,2,2,0
1246,마포,144,1,1,34
1247,강남,194,1,2,33
1248,기타,97,2,2,37
1249,마포,51,4,1,11
1250,강남,194,3,1,29
1251,마포,125,5,2,21
1252,마포,189,5,2,31
1253,마포,155,4,3,24
1254,서초,114,4,1,13
1255,강북,54,4,2,14
1256,서초,160,4,1,10
1257,강남,76,4,3,33
1258,,98,2,2,23
1259,강남,180,4,3,11
1260,마포,141,5,3,20
1261,강북,50,4,3,3
1262,마포,188,4,2,0
1263,강북,123,5,2,32
1264,강북,173,2,2,17
1265,강북,188,5,3,
1266,강남,156,2,3,3
1267,서초,81,5,2,32
1268,서초,169,2,2,34
1269,강남,147,,2,23
1270,강남,99,1,2,23
1271,기타,106,2,2,16
1272,강남,123,3,1,26
1273,강남,96,5,1,37
1274,서초,146,4,1,38
1275,기타,194,3,2,32
1276,강남,131,5,1,27
1277,,57,5,2,4
1278,강북,113,1,1,15
1279,마포,56,1,2,36
1280,강남,69,2,1,10
1281,강남,195,3,2,2
1282,마포,133,5,3,35
1283,강북,192,4,2,3
1284,기타,168,,1,25
1285,마포,195,4,1,34
1286,강남,188,5,2,21
1287,서초,171,5,1,15
1288,강남,70,4,1,20
1289,마포,125,3,1,27
1290,강북,192,3,2,10
1291,기타,125,5,1,19
1292,강북,152,4,2,7
1293,강북,190,2,2,8
1294,강남,179,3,3,14
1295,서초,77,3,1,0
1296,서초,76,4,1,27
1297,강남,167,3,1,15
1298,마포,149,1,1,2
1299,강남,92,5,3,20
1300,강남,198,4,,22
1301,마포,71,3,3,28
1302,강남,192,5,3,6
1303,강남,85,1,1,27
1304,강북,101,2,2,36
1305,강남,151,4,2,4
1306,강남,67,5,2,0
1307,강북,140,3,2,2
1308,강남,64,3,2,32
1309,강북,184,2,2,13
1310,강북,63,2,1,12
1311,강북,171,2,2,
1312,강남,52,3,3,13
1313,서초,108,1,1,17
1314,서초,109,2,2,16
1315,강남,116,2,2,17
1316,마포,107,3,2,8
1317,강남,137,2,1,8
1318,강남,92,1,3,36
1319,강남,50,5,2,30
1320,강남,75,5,2,35
1321,강남,168,1,3,5
1322,서초,97,1,3,33
1323,마포,87,3,1,37
1324,강남,108,3,3,29
1325,강북,72,2,1,33
1326,서초,84,2,1,28
1327,강북,174,1,2,23
1328,마포,94,1,1,21
1329,강남,124,3,3,22
1330,강남,182,4,3,25
1331,강북,90,4,,6
1332,마포,74,4,3,11
1333,강남,119,2,3,4
1334,강북,82,4,3,15
1335,마포,174,3,1,30
1336,서초,150,5,2,28
1337,서초,153,4,2,8
1338,마포,73,3,3,29
1339,강북,184,3,,37
1340,강남,186,,2,11
1341,마포,178,5,3,5
1342,강남,92,3,3,32
1343,강남,52,1,2,9
1344,서초,105,1,2,11
1345,마포,165,2,2,12
1346,강북,114,,2,39
1347,마포,112,2,3,28
1348,강남,63,4,3,13
1349,강북,107,2,3,18
1350,서초,77,4,,36
1351,마포,80,3,2,15
1352,강북,113,3,2,10
1353,강북,169,5,1,3
1354,마포,116,1,2,0
1355,강남,122,4,1,13
1356,마포,53,3,2,20
1357,서초,195,2,3,6
1358,마포,55,5,3,27
1359,서초,93,3,1,37
1360,강남,63,2,1,13
1361,서초,60,3,1,31
1362,강북,179,5,2,7
1363,강북,100,1,3,35
1364,강남,74,4,1,38
1365,강북,181,1,3,21
1366,강남,190,5,2,38
1367,강남,163,,2,22
1368,마포,88,2,1,21
1369,강북,58,4,1,17
1370,강북,182,4,1,14
1371,강남,150,5,3,27
1372,마포,60,2,1,15
1373,강북,71,5,2,13
1374,마포,82,4,3,4
1375,서초,62,2,1,24
1376,마포,130,3,1,14
1377,강남,116,4,1,28
1378,강남,191,4,,26
1379,강북,99,4,2,0
1380,강남,128,5,2,8
1381,마포,165,3,1,12
1382,마포,91,1,1,35
1383,강남,131,4,3,14
1384,강남,149,3,1,16
1385,강북,177,4,2,0
1386,강남,101,5,3,4
1387,강남,106,3,2,34
1388,강북,151,4,2,27
1389,강북,80,4,3,28
1390,마포,130,4,3,
1391,기타,162,3,2,38
1392,강북,144,4,2,36
1393,마포,192,5,2,27
1394,강남,117,1,2,16
1395,강북,85,5,2,20
1396,강북,125,4,3,28
1397,서초,58,4,1,19
1398,강북,98,1,1,15
1399,강남,158,4,3,11
1400,마포,153,5,3,22
1401,강남,91,4,3,11
1402,서초,149,5,3,33
1403,기타,75,4,2,
1404,강남,54,5,3,12
1405,마포,141,3,,27
1406,서초,196,4,2,18
1407,,169,2,2,0
1408,강남,172,3,2,1
1409,강남,162,1,2,2
1410,강남,111,4,1,29
1411,강북,190,5,2,37
1412,강남,71,5,2,10
1413,기타,118,1,1,21
1414,서초,104,3,1,26
1415,기타,55,4,3,20
1416,기타,150,4,2,20
1417,강북,111,4,,37
1418,강남,102,2,3,3
1419,마포,83,2,2,26
1420,마포,125,4,1,25
1421,강북,157,4,2,0
1422,마포,161,,3,39
1423,강북,86,1,,34
1424,기타,107,5,2,9
1425,강북,84,2,1,4
1426,서초,144,4,2,6
1427,서초,50,2,3,11
1428,서초,135,1,1,
1429,강북,134,3,2,26
1430,마포,140,2,,13
1431,강북,54,5,1,6
1432,강북,147,2,3,24
1433,강남,108,4,2,34
1434,강북,54,4,1,2
1435,강북,188,3,2,18
1436,강북,128,1,3,8
1437,마포,184,3,1,39
1438,서초,182,5,2,20
1439,기타,185,1,1,21
1440,강남,74,3,3,1
1441,마포,140,5,3,14
1442,강북,86,3,1,22
1443,,63,3,1,18
1444,강남,144,5,1,10
1445,서초,73,1,3,32
1446,강남,158,3,3,32
1447,서초,68,5,1,34
1448,마포,146,4,3,5
1449,서초,128,4,3,39
1450,마포,77,,1,14
1451,기타,106,2,1,3
1452,마포,93,,3,15
1453,서초,151,2,3,0
1454,마포,158,1,2,14
1455,서초,142,1,1,32
1456,기타,75,4,1,2
1457,마포,197,1,2,18
1458,강남,138,1,1,16
1459,강북,117,2,1,1
1460,서초,96,1,2,2
1461,마포,80,3,2,23
1462,강남,187,2,,19
1463,서초,164,1,3,19
1464,강남,74,5,,6
1465,강남,97,3,1,18
1466,서초,121,,2,29
1467,서초,73,4,1,6
1468,마포,194,4,2,36
1469,마포,62,1,1,37
1470,강북,55,1,1,
1471,강북,75,2,2,2
1472,서초,187,4,2,12
1473,강북,163,2,3,3
1474,강북,59,1,1,21
1475,마포,73,2,1,25
1476,마포,72,4,2,12
1477,마포,161,4,2,4
1478,서초,169,5,2,31
1479,강남,198,4,1,34
1480,강남,61,1,2,3
1481,강남,162,3,2,18
1482,강남,101,3,2,37
1483,기타,60,1,1,33
1484,마포,129,4,3,29
1485,마포,58,3,1,26
1486,강북,101,5,2,24
1487,강남,93,4,3,16
1488,마포,143,5,3,33
1489,기타,181,2,2,35
1490,강남,125,3,2,0
1491,마포,147,1,2,11
1492,기타,125,4,1,18
1493,강남,199,3,2,30
1494,마포,100,3,2,33
1495,기타,98,2,1,3
1496,강북,100,2,1,31
1497,,122,3,1,19
1498,강북,99,2,3,39
1499,강남,59,1,1,32
1500,마포,68,2,2,8
