production_line,material_type,temp_sensor_1,pressure_sensor,humidity,vibration_sensor,processing_time_sec,power_consumption,operator_experience_years,yield_percentage
Line-B,Type-X,103.11,51.78,37.96,1.2479,115.6,192.44,6.0,94.58
Line-B,Type-Y,97.43,49.8,58.21,0.861,117.7,172.67,9.0,96.43
Line-B,Type-Y,98.92,46.32,48.0,1.3232,126.8,195.47,3.0,94.92
Line-A,Type-X,100.56,51.22,48.16,1.0398,100.5,218.51,9.0,94.33
Line-B,Type-Y,101.21,45.77,,1.0398,134.4,200.46,2.0,96.16
Line-A,Type-X,106.1,48.96,46.58,0.9551,102.1,188.82,6.0,94.54
Line-A,Type-X,108.55,51.26,38.0,0.6911,129.7,183.81,9.0,94.21
Line-A,Type-Y,101.08,46.65,66.41,0.7115,114.5,187.09,9.0,96.14
Line-B,Type-Z,102.13,50.21,41.33,0.8514,117.2,173.9,7.0,93.53
Line-A,Type-Y,103.41,47.11,39.12,1.2682,127.1,221.03,6.0,94.96
Line-A,Type-Z,101.0,51.51,66.29,0.9128,113.6,209.34,6.0,92.93
Line-A,Type-Y,100.26,48.16,64.87,1.0441,136.2,195.28,7.0,95.91
Line-A,Type-X,99.97,54.41,31.91,0.7976,123.8,223.56,1.0,93.78
Line-B,Type-Z,92.61,48.34,68.59,1.0661,126.8,215.94,7.0,93.1
Line-B,Type-Y,104.76,,53.43,0.9126,100.0,203.21,1.0,94.59
Line-A,Type-Y,107.22,52.14,43.38,0.6967,103.3,206.08,1.0,95.36
Line-B,Type-Z,96.67,47.65,45.44,1.0513,115.3,202.05,7.0,94.08
Line-B,Type-Z,103.06,53.19,63.11,1.0853,130.0,190.5,5.0,93.08
Line-A,Type-Z,106.35,49.06,52.9,0.6296,106.7,184.95,4.0,92.72
Line-B,Type-Y,96.0,49.79,41.4,1.1652,113.9,191.21,8.0,95.85
Line-A,Type-X,100.07,53.33,66.46,0.963,126.8,225.75,1.0,93.91
Line-B,Type-Y,,50.93,51.4,1.1387,124.5,183.94,4.0,95.47
Line-A,Type-Y,101.33,51.03,40.94,0.6987,115.2,218.67,5.0,96.03
Line-B,Type-Y,110.12,50.28,38.65,1.2751,121.3,181.52,9.0,95.68
Line-B,Type-Y,105.44,50.35,68.81,0.815,116.6,218.75,1.0,94.99
Line-A,Type-X,93.26,48.7,64.49,0.889,121.0,219.87,7.0,94.83
Line-A,Type-Y,102.44,50.13,35.16,1.3413,116.9,183.89,3.0,96.98
Line-A,Type-Y,88.78,51.45,42.42,0.7644,123.6,201.68,2.0,95.59
Line-A,Type-X,103.07,49.99,37.24,1.0971,136.1,205.67,5.0,94.76
Line-B,Type-Z,92.73,49.16,49.37,0.9699,127.0,203.86,8.0,93.76
Line-A,Type-X,115.08,55.2,38.63,1.0135,115.7,213.51,5.0,92.92
Line-A,Type-X,100.37,47.72,56.34,0.9476,117.8,175.11,5.0,94.89
Line-A,Type-X,106.79,46.45,53.29,1.2418,116.1,150.26,3.0,94.7
Line-B,Type-Y,105.15,50.79,37.83,1.0657,131.9,222.99,1.0,95.25
Line-B,Type-Y,105.92,50.25,65.61,0.9036,107.1,206.91,5.0,95.32
Line-A,Type-Y,103.17,47.88,40.22,0.8877,116.1,186.04,7.0,95.72
Line-A,Type-Y,105.84,50.26,58.72,0.9539,124.4,188.39,2.0,96.14
Line-B,Type-Y,104.13,47.38,58.55,1.1875,113.7,175.97,6.0,95.44
Line-A,Type-Y,94.89,51.82,65.23,1.0135,120.8,175.12,9.0,96.33
Line-B,Type-Y,97.9,51.4,61.54,1.3369,121.4,223.48,6.0,95.95
Line-A,Type-X,100.27,51.76,50.44,0.8573,129.6,205.18,9.0,94.32
Line-B,Type-Y,99.84,49.21,64.84,1.1546,113.0,213.2,10.0,96.46
Line-B,Type-Z,105.41,49.49,30.53,0.8129,121.7,178.74,2.0,93.59
Line-B,Type-X,103.17,46.69,32.19,1.0067,112.9,222.62,2.0,93.19
Line-A,Type-Y,105.8,46.59,49.02,0.7937,115.3,218.75,2.0,94.57
Line-B,Type-Y,92.91,51.15,39.94,0.8359,101.4,183.88,10.0,95.23
Line-A,Type-Z,99.56,52.01,69.22,0.889,116.5,178.08,1.0,93.98
Line-A,Type-X,106.09,51.07,64.34,0.9497,124.8,208.59,8.0,94.59
Line-A,Type-Z,92.83,49.44,62.0,0.7724,115.1,207.71,7.0,93.69
Line-A,Type-Z,104.22,49.48,64.5,0.5595,125.7,208.09,4.0,92.69
Line-B,Type-Y,97.13,50.81,59.77,1.2505,103.3,219.95,4.0,95.74
Line-A,Type-Z,96.37,50.11,51.03,0.8745,108.6,189.11,7.0,94.24
Line-A,Type-Y,101.49,49.6,48.58,1.0792,129.7,171.09,9.0,95.98
Line-B,Type-Z,99.63,49.64,64.03,1.0307,112.0,194.33,7.0,94.5
Line-A,Type-X,89.59,51.68,33.3,0.7407,121.0,186.43,1.0,93.3
Line-A,Type-X,94.52,51.67,43.18,1.335,123.2,222.72,1.0,94.6
Line-B,Type-Y,101.33,47.78,50.55,1.2103,125.3,216.1,1.0,95.64
Line-B,Type-Z,100.99,52.07,57.75,1.2217,,219.9,3.0,93.6
Line-B,Type-X,96.32,48.93,,0.8103,126.7,182.68,7.0,94.82
Line-B,Type-Y,97.15,,51.32,1.0371,123.4,204.89,4.0,95.38
Line-B,Type-Y,100.66,50.15,69.16,1.0916,118.5,189.07,4.0,96.06
Line-B,Type-X,102.18,52.65,37.32,0.9766,126.0,203.94,8.0,95.09
Line-B,Type-Y,108.57,51.55,39.71,0.9952,117.2,202.43,9.0,95.58
Line-B,Type-Z,104.58,51.11,65.39,1.1394,132.8,233.59,6.0,92.51
Line-A,Type-X,100.42,51.69,52.88,1.0741,114.5,152.97,7.0,94.28
Line-A,Type-Z,92.17,48.35,41.52,1.2464,119.0,226.83,5.0,93.21
Line-A,Type-Y,102.15,53.17,61.02,1.1135,137.8,225.11,2.0,93.21
Line-B,Type-Z,101.9,48.99,44.21,1.0816,113.8,195.29,2.0,93.4
Line-A,Type-Z,99.82,50.52,56.88,1.0891,130.1,238.91,9.0,94.07
Line-B,Type-Y,95.72,50.08,41.34,0.987,126.5,205.51,10.0,96.27
Line-B,Type-Z,100.61,47.54,53.64,1.1563,127.4,152.97,4.0,92.27
Line-B,Type-X,99.01,46.08,39.16,1.1106,119.9,184.3,7.0,95.6
Line-A,Type-Z,96.76,51.53,43.51,1.0624,125.2,169.79,9.0,94.71
Line-A,Type-X,100.29,50.31,65.34,0.9342,120.4,207.3,2.0,95.02
Line-B,Type-Y,91.13,51.37,48.83,0.9778,135.7,223.68,4.0,94.69
Line-B,Type-Z,103.98,50.6,63.72,1.1766,118.2,208.74,6.0,92.96
Line-B,Type-Y,109.59,51.96,35.44,0.9569,126.3,183.84,9.0,95.78
Line-B,Type-Z,106.65,51.96,60.47,1.0398,117.3,205.33,4.0,93.73
Line-B,Type-X,93.0,54.8,35.23,1.0398,127.7,183.28,5.0,94.26
Line-A,Type-X,101.94,47.63,60.54,0.7258,123.5,205.49,3.0,94.38
Line-B,Type-X,94.63,50.27,42.16,1.0398,108.2,185.88,9.0,95.17
Line-A,Type-X,93.42,47.17,38.76,0.8363,140.0,168.51,7.0,93.94
Line-A,Type-Z,100.24,50.3,66.07,0.8985,111.6,178.87,7.0,94.37
Line-A,Type-Z,107.68,52.4,46.8,0.8583,116.0,212.31,7.0,92.28
Line-A,Type-X,104.4,51.9,34.18,1.2921,101.0,181.46,10.0,94.12
Line-A,Type-X,103.26,48.38,42.52,0.6491,122.9,190.93,6.0,94.36
Line-B,Type-X,95.8,49.97,40.13,0.95,125.9,184.53,5.0,94.4
Line-B,Type-X,99.85,51.21,36.74,0.7136,132.5,228.39,7.0,95.12
Line-A,Type-Z,95.93,48.51,52.44,1.1777,122.9,152.97,3.0,94.31
Line-A,Type-X,,51.25,62.48,0.9071,114.0,188.04,8.0,95.51
Line-A,Type-Y,96.29,49.78,61.66,0.9501,105.4,167.5,7.0,95.54
Line-A,Type-Z,101.06,46.41,69.91,1.0398,113.5,212.56,3.0,93.02
Line-B,Type-X,105.22,48.68,36.98,1.0646,104.0,177.31,10.0,95.87
Line-B,Type-Y,97.51,49.19,55.91,0.8488,127.2,194.51,1.0,94.93
Line-B,Type-Z,104.74,48.3,34.1,1.1631,117.6,179.78,2.0,93.33
Line-A,Type-Z,100.4,51.23,61.98,0.831,126.2,181.42,9.0,93.71
Line-B,Type-X,97.49,48.28,63.74,1.2035,108.3,225.66,1.0,94.02
Line-A,Type-X,104.85,51.64,42.4,1.2822,127.5,221.04,7.0,94.67
Line-A,Type-X,102.25,46.92,65.34,0.9577,140.4,190.15,4.0,93.33
Line-B,Type-Y,98.97,50.44,62.06,1.1215,128.8,171.07,4.0,96.23
Line-B,Type-Y,105.12,50.87,54.92,0.7952,117.3,205.74,9.0,96.28
Line-B,Type-X,104.65,51.6,67.55,0.6839,108.6,196.81,4.0,93.5
Line-A,Type-Y,100.8,50.46,64.86,0.9789,131.3,222.6,5.0,95.69
Line-B,Type-X,,48.06,64.44,0.7829,132.7,212.05,4.0,94.56
Line-B,Type-Y,98.28,50.93,39.46,1.0282,120.6,197.12,2.0,95.11
Line-B,Type-Y,97.23,51.99,39.92,0.8711,124.3,182.04,7.0,95.94
Line-B,Type-Y,91.82,45.54,66.94,1.2757,126.1,230.62,9.0,94.99
Line-B,Type-Y,105.26,50.15,63.4,0.5435,100.4,200.06,7.0,94.43
Line-A,Type-X,98.67,45.26,38.85,0.9975,122.2,192.0,1.0,93.16
Line-B,Type-Y,104.3,47.37,43.31,0.8941,138.2,206.89,6.0,95.22
Line-A,Type-X,95.35,,43.38,1.3162,131.0,211.1,9.0,95.29
Line-B,Type-X,102.79,51.27,,1.0022,117.4,207.21,1.0,93.13
Line-B,Type-Y,103.96,50.13,62.67,0.765,,194.07,6.0,95.94
Line-A,Type-Z,98.23,51.34,63.42,0.9292,113.3,193.2,7.0,94.84
Line-B,Type-X,102.36,48.79,56.68,1.0091,,211.76,2.0,93.69
Line-A,Type-Y,100.57,50.35,65.28,1.0491,137.2,177.54,1.0,94.09
Line-B,Type-Y,98.15,48.43,54.94,0.966,111.3,194.76,2.0,95.29
Line-A,Type-Y,97.75,50.43,65.38,0.6849,128.3,199.39,10.0,95.34
Line-A,Type-Y,94.07,49.16,57.1,0.6409,106.5,185.27,10.0,94.7
Line-B,Type-X,106.34,48.91,54.41,1.0244,120.1,187.75,10.0,95.42
Line-B,Type-Y,96.86,50.42,40.66,0.9067,117.8,182.95,9.0,95.77
Line-A,Type-X,107.67,49.64,34.73,0.8224,118.2,195.79,1.0,94.24
Line-B,Type-X,98.9,52.02,66.32,1.0645,115.9,172.82,4.0,95.4
Line-A,Type-X,100.24,50.33,53.42,0.7932,130.0,174.82,1.0,94.93
Line-A,Type-Z,103.86,49.93,32.63,1.0842,130.5,177.88,5.0,94.44
Line-B,Type-Y,96.65,52.5,31.17,1.0398,104.1,170.79,7.0,94.99
Line-A,Type-X,99.9,51.8,43.16,0.5203,117.8,203.32,9.0,94.97
Line-A,Type-Y,101.68,46.67,36.57,1.0383,130.8,181.45,8.0,95.13
Line-B,Type-X,102.35,52.8,68.77,0.9368,111.3,207.38,9.0,94.88
Line-A,Type-X,99.35,49.03,69.35,1.0094,,219.7,5.0,96.34
Line-A,Type-Z,109.17,50.69,33.82,0.7621,118.3,230.19,4.0,93.25
Line-A,Type-X,96.99,52.88,44.49,0.9287,115.8,216.75,1.0,93.55
Line-B,Type-Z,96.66,51.32,,0.736,124.2,157.12,5.0,94.06
Line-A,Type-X,101.66,52.01,64.1,1.0035,137.2,226.03,9.0,94.64
Line-A,Type-Y,107.31,52.89,66.31,0.8869,133.4,206.51,6.0,94.66
Line-A,Type-Y,101.98,48.4,68.24,0.7984,116.0,219.66,7.0,96.02
Line-B,Type-Z,93.4,51.47,48.39,1.1877,116.7,201.48,2.0,93.54
Line-B,Type-Z,95.68,50.42,39.08,0.962,117.3,194.66,5.0,93.55
Line-A,Type-Z,98.77,52.41,40.35,0.7247,139.7,195.97,1.0,91.97
Line-B,Type-Z,92.32,47.89,48.27,1.0164,120.5,205.84,7.0,92.97
Line-B,Type-Z,105.54,48.99,51.86,0.7081,131.3,195.37,7.0,93.42
Line-A,Type-X,97.84,54.16,38.45,0.937,129.0,195.03,8.0,94.51
Line-B,Type-Z,102.71,51.9,55.25,0.9625,114.9,204.46,10.0,94.49
Line-A,Type-X,99.84,53.23,36.83,1.0896,121.1,229.46,1.0,94.08
Line-A,Type-Y,103.04,51.99,42.25,0.4203,119.7,191.61,4.0,95.95
Line-A,Type-Z,101.54,48.61,42.03,0.7876,122.5,207.21,4.0,93.42
Line-B,Type-X,107.76,50.75,41.66,1.0224,126.6,202.73,4.0,93.53
Line-A,Type-X,114.47,50.8,52.82,0.7319,112.7,206.76,1.0,93.54
Line-A,Type-Z,104.36,50.47,65.99,1.3346,110.9,152.97,4.0,92.15
Line-A,Type-X,90.39,51.34,64.33,1.088,125.4,219.08,10.0,95.48
Line-A,Type-Z,103.43,51.33,39.37,0.7679,118.7,201.43,9.0,94.44
Line-B,Type-X,98.77,51.88,49.97,1.0173,114.8,173.17,1.0,94.05
Line-B,Type-Y,89.17,50.48,60.08,1.0497,119.4,166.93,10.0,96.16
Line-B,Type-Y,102.33,51.73,45.81,0.671,126.8,163.56,7.0,95.39
Line-A,Type-Y,96.74,46.26,33.82,1.0921,140.1,166.68,2.0,93.54
Line-B,Type-Y,100.14,50.43,35.98,0.8036,130.4,227.18,8.0,95.77
Line-B,Type-Y,101.98,48.66,68.57,0.9396,121.2,205.71,6.0,95.98
Line-B,Type-Z,,49.1,49.15,1.2048,118.5,199.69,8.0,92.93
Line-A,Type-Z,88.53,49.36,64.47,1.0398,118.5,221.67,3.0,92.76
Line-B,Type-Y,101.73,53.05,55.88,1.035,121.9,176.76,4.0,95.69
Line-A,Type-Y,103.55,52.83,57.79,1.0635,139.6,197.97,5.0,94.57
Line-B,Type-X,95.98,51.8,44.03,0.9852,99.5,204.48,9.0,94.2
Line-A,Type-Y,,48.44,51.7,1.061,128.4,190.32,6.0,95.62
Line-A,Type-Z,100.49,47.26,62.26,0.7179,123.2,207.17,7.0,93.81
Line-A,Type-X,109.49,48.5,52.93,0.7048,123.4,187.24,4.0,93.75
Line-A,Type-Y,102.26,47.25,35.54,1.2906,119.6,202.13,4.0,95.88
Line-A,Type-Z,94.85,53.9,49.62,1.2646,116.1,232.79,3.0,93.65
Line-B,Type-X,91.27,47.75,58.94,1.0333,120.3,206.29,8.0,93.52
Line-B,Type-Z,93.03,49.81,35.93,0.9923,117.7,182.15,10.0,94.27
Line-B,Type-Z,106.26,48.24,68.55,0.769,117.9,224.98,9.0,93.65
Line-A,Type-Z,103.0,51.3,66.27,0.9986,137.4,173.45,6.0,93.1
Line-B,Type-Z,95.93,50.7,,0.8189,112.5,196.14,4.0,93.09
Line-A,Type-X,98.94,52.6,37.46,0.9325,117.7,204.77,8.0,95.2
Line-B,Type-Z,98.54,45.99,56.23,0.9342,103.3,194.17,9.0,92.88
Line-B,Type-X,88.09,45.86,47.49,1.4889,121.0,155.17,10.0,93.54
Line-B,Type-Z,109.95,46.65,33.54,1.2565,135.5,192.41,10.0,91.85
Line-B,Type-Z,96.17,50.19,38.62,1.1861,121.6,202.67,8.0,94.4
Line-B,Type-Y,103.23,49.9,43.24,0.6753,143.0,190.65,3.0,94.88
Line-A,Type-X,99.32,50.21,57.4,1.0351,116.7,199.58,10.0,96.7
Line-B,Type-X,104.36,52.7,49.8,1.0245,119.4,182.45,2.0,95.0
Line-A,Type-X,98.18,50.28,41.57,1.1196,140.8,223.37,9.0,94.76
Line-B,Type-Z,,46.14,68.67,1.0398,141.7,211.53,2.0,91.84
Line-B,Type-Z,99.48,52.12,40.38,0.971,134.0,169.57,6.0,93.19
Line-A,Type-Y,96.42,50.22,30.77,0.9041,134.3,179.08,10.0,95.95
Line-B,Type-Z,104.4,52.28,63.57,1.1989,111.1,213.36,3.0,93.56
Line-A,Type-Z,95.5,52.31,59.17,0.7435,111.0,206.34,10.0,93.46
Line-A,Type-Z,101.77,47.9,69.05,1.2305,99.4,199.16,8.0,93.52
Line-B,Type-Z,100.28,50.3,63.49,0.7585,122.6,183.73,9.0,94.78
Line-A,Type-Y,104.64,,47.59,0.7992,141.8,189.01,1.0,93.95
Line-A,Type-Y,103.62,48.03,42.96,0.845,119.5,186.72,7.0,95.19
Line-B,Type-Z,,,41.23,0.8507,122.8,181.15,8.0,92.72
Line-A,Type-Z,102.47,52.28,47.13,1.1344,120.4,202.71,1.0,92.4
Line-B,Type-Y,97.29,50.74,35.26,0.826,110.4,195.27,4.0,95.44
Line-A,Type-Y,98.75,48.56,55.76,1.1128,136.4,206.95,7.0,95.49
Line-A,Type-Y,91.76,50.31,50.54,1.1619,122.1,220.88,2.0,94.99
Line-A,Type-Y,97.85,50.47,49.4,0.9406,103.8,183.69,5.0,95.03
Line-B,Type-Y,103.18,49.28,40.88,0.7401,138.7,230.99,8.0,95.58
Line-A,Type-Z,101.63,47.47,32.82,0.8117,124.5,205.88,7.0,92.53
Line-B,Type-Y,101.3,51.36,30.84,0.7856,119.5,246.15,3.0,95.38
Line-A,Type-Y,,50.57,47.06,0.94,113.3,201.15,4.0,94.81
Line-A,Type-X,111.19,50.3,57.47,0.9787,123.6,218.62,8.0,94.43
Line-A,Type-X,95.48,50.84,42.19,0.7324,125.9,248.12,1.0,94.04
Line-B,Type-X,101.4,47.69,46.84,1.2679,123.4,205.25,3.0,93.87
Line-A,Type-X,101.46,49.17,39.05,1.111,123.7,222.18,2.0,95.39
Line-B,Type-X,106.02,52.72,33.88,0.6802,105.6,192.06,10.0,94.73
Line-B,Type-Y,102.28,47.23,44.05,1.2668,118.0,194.47,7.0,95.09
Line-B,Type-X,103.04,52.14,46.25,0.901,127.8,219.36,7.0,94.64
Line-A,Type-Z,98.85,51.93,64.51,1.3271,114.5,212.42,4.0,94.28
Line-B,Type-Y,95.8,50.7,42.52,1.2229,124.8,201.87,3.0,94.32
Line-B,Type-X,103.22,49.46,63.96,1.1475,106.6,199.35,7.0,94.8
Line-B,Type-Z,105.18,52.05,47.73,1.18,118.5,222.13,5.0,93.83
Line-B,Type-X,106.31,53.49,67.29,0.9399,108.5,210.41,4.0,93.54
Line-B,Type-Y,96.77,51.6,37.43,1.2821,119.7,187.52,8.0,96.48
Line-A,Type-Z,102.45,50.73,35.17,1.2058,113.6,178.67,2.0,92.87
Line-A,Type-X,98.81,48.58,30.86,1.1189,123.6,189.44,7.0,94.4
Line-B,Type-Z,102.63,50.32,66.46,1.0583,127.5,154.55,8.0,93.16
Line-B,Type-X,97.77,53.78,31.49,0.854,112.9,223.67,1.0,94.04
Line-B,Type-Z,98.12,49.27,40.12,0.7317,118.6,193.49,7.0,95.02
Line-A,Type-X,105.86,51.07,44.19,1.0043,115.8,191.75,8.0,94.55
Line-B,Type-X,,50.16,37.7,1.3699,128.8,241.64,4.0,94.66
Line-B,Type-Z,95.15,52.17,56.87,1.5896,120.8,191.67,7.0,94.13
Line-B,Type-Z,91.61,52.22,68.52,0.9396,117.4,200.87,7.0,93.27
Line-B,Type-Y,104.34,51.74,42.99,0.7202,117.7,195.62,1.0,95.42
Line-B,Type-Y,100.59,50.83,67.67,1.2176,113.3,231.93,6.0,95.94
Line-A,Type-X,109.24,52.03,40.68,1.3554,134.4,208.63,2.0,92.97
Line-B,Type-X,102.05,48.92,48.52,1.2977,121.9,165.07,10.0,95.87
Line-B,Type-Y,96.82,48.88,56.08,0.9209,115.6,186.47,7.0,95.94
Line-B,Type-Y,99.59,50.13,68.25,1.1607,110.9,241.52,5.0,95.59
Line-A,Type-X,,49.55,41.62,1.0079,118.9,176.33,4.0,94.44
Line-B,Type-X,99.72,,50.71,0.8768,127.8,214.28,7.0,95.66
Line-A,Type-X,94.98,45.61,34.98,1.1859,133.3,213.94,2.0,94.06
Line-A,Type-X,101.55,46.1,30.68,1.2388,114.8,207.69,2.0,94.39
Line-B,Type-Z,99.9,50.76,47.07,1.1468,131.9,206.89,3.0,93.2
Line-A,Type-Z,104.99,,40.76,0.9026,130.0,176.27,7.0,93.01
Line-A,Type-Z,105.57,50.19,56.36,0.7782,111.0,171.42,3.0,93.61
Line-B,Type-Y,102.1,51.76,60.59,0.8307,135.4,152.97,7.0,95.58
Line-A,Type-Y,103.38,49.83,50.14,0.9929,116.4,152.97,2.0,96.14
Line-B,Type-Z,90.49,47.52,64.48,0.9058,128.2,207.76,3.0,93.22
Line-A,Type-Z,91.31,47.04,37.12,0.7516,112.1,206.97,2.0,91.78
Line-A,Type-Z,,51.64,43.09,1.1586,112.0,199.22,1.0,92.27
Line-B,Type-X,103.74,51.97,,1.2385,124.6,255.45,5.0,94.5
Line-B,Type-X,100.89,45.01,43.22,1.144,124.8,192.78,7.0,93.4
Line-A,Type-Z,104.6,48.14,60.66,0.9194,121.6,192.7,4.0,93.39
Line-A,Type-X,95.19,49.8,51.22,1.1718,114.3,207.38,6.0,94.16
Line-B,Type-Y,105.01,47.69,,0.7548,122.0,204.18,9.0,96.65
Line-A,Type-X,103.81,51.81,58.44,1.1441,123.4,214.57,10.0,95.3
Line-A,Type-X,106.97,47.97,69.67,0.9329,110.3,230.91,9.0,94.97
Line-B,Type-Z,113.19,47.81,34.08,0.9229,122.5,193.78,9.0,93.7
Line-B,Type-X,93.96,51.76,35.82,1.0939,117.1,199.92,8.0,94.25
Line-A,Type-X,91.0,50.91,43.36,1.2423,113.0,202.99,4.0,93.83
Line-A,Type-X,90.81,48.32,65.46,1.4223,135.6,206.54,9.0,94.92
Line-B,Type-X,99.91,51.09,38.45,0.9102,122.6,166.8,7.0,95.29
Line-A,Type-X,96.58,51.49,69.27,1.0398,110.0,179.31,8.0,94.91
Line-A,Type-Z,103.97,52.82,43.28,0.967,110.5,220.23,7.0,94.18
Line-B,Type-X,105.08,46.58,62.17,1.424,136.0,226.51,8.0,94.81
Line-B,Type-Y,106.39,52.22,60.19,1.0398,133.7,185.35,1.0,94.43
Line-B,Type-Y,98.69,49.0,51.59,0.8478,130.6,190.63,10.0,95.9
Line-B,Type-Z,90.88,48.24,70.0,0.9088,124.9,211.28,5.0,92.36
Line-B,Type-Y,96.34,54.75,49.11,1.1892,115.9,208.57,8.0,94.21
Line-A,Type-Z,91.18,50.53,36.14,0.864,113.6,159.38,6.0,93.9
Line-B,Type-Y,93.42,48.15,55.62,0.9715,117.0,230.36,5.0,94.79
Line-B,Type-X,104.71,51.54,50.89,1.0328,116.8,240.53,2.0,93.56
Line-B,Type-Z,97.72,50.97,69.22,1.0962,112.7,240.49,9.0,93.84
Line-A,Type-Z,102.54,48.74,45.49,1.0317,104.9,188.52,7.0,94.17
Line-A,Type-Z,101.3,53.63,30.24,1.3076,113.1,164.51,10.0,93.7
Line-B,Type-X,98.1,49.77,43.41,0.7682,119.8,171.42,8.0,95.77
Line-B,Type-X,99.54,,57.41,1.163,124.2,215.57,8.0,94.92
Line-B,Type-X,108.85,,62.66,0.6486,125.0,226.74,7.0,94.39
Line-B,Type-X,97.92,50.2,39.05,1.1913,108.9,206.23,6.0,94.96
Line-B,Type-Z,95.66,52.23,60.38,0.8329,146.8,208.56,7.0,92.39
Line-A,Type-Z,99.26,48.81,36.25,1.129,119.9,184.26,5.0,93.43
Line-A,Type-Z,87.61,46.52,54.25,0.8722,132.6,207.78,9.0,92.84
Line-A,Type-Z,100.15,47.36,36.94,1.2046,121.9,166.69,9.0,94.6
Line-A,Type-Y,95.39,51.59,45.03,1.3011,114.5,190.2,2.0,94.01
Line-A,Type-Y,97.3,49.46,40.92,0.8162,122.2,185.74,6.0,95.89
Line-B,Type-Z,94.33,51.97,63.91,1.1811,116.0,180.08,2.0,92.83
Line-A,Type-Y,101.68,46.82,31.8,0.7713,118.4,213.81,8.0,96.31
Line-A,Type-X,84.69,50.03,45.01,0.7777,107.6,219.25,5.0,92.97
Line-B,Type-Z,89.18,,30.47,0.8998,111.3,186.82,3.0,93.07
Line-B,Type-Z,95.81,47.61,36.95,1.166,112.9,179.63,2.0,93.47
Line-B,Type-X,104.27,51.42,65.56,0.7958,131.5,190.97,7.0,94.47
Line-A,Type-Y,102.97,49.68,55.75,0.779,132.1,211.21,2.0,95.24
Line-B,Type-Z,104.42,50.87,38.15,0.75,127.6,189.02,1.0,93.24
Line-B,Type-Z,102.76,49.9,39.05,1.1,113.5,186.64,1.0,94.4
Line-B,Type-Y,95.59,52.98,35.91,0.8656,112.0,231.27,10.0,96.4
Line-A,Type-Y,91.63,50.48,43.67,0.713,111.9,190.42,5.0,94.86
Line-A,Type-X,104.27,,38.85,0.7251,115.1,212.68,2.0,94.7
Line-A,Type-Y,103.35,50.84,35.54,0.7609,112.7,238.83,1.0,95.43
Line-B,Type-Y,102.51,53.08,33.35,0.8328,98.9,193.33,2.0,94.35
Line-B,Type-X,95.52,52.73,30.06,1.0726,103.4,182.78,7.0,94.13
Line-B,Type-X,105.48,51.98,54.39,1.0245,126.5,198.03,9.0,94.32
Line-B,Type-Y,92.98,52.09,57.7,0.7807,126.5,217.05,4.0,94.58
Line-A,Type-X,93.91,46.42,35.37,0.8779,123.4,212.88,3.0,91.69
Line-B,Type-Z,103.12,50.84,67.78,1.1387,122.8,226.08,2.0,93.07
Line-B,Type-X,105.09,49.37,69.59,1.0136,123.7,171.86,5.0,95.15
Line-A,Type-Z,96.16,48.14,56.1,1.2937,103.6,197.37,3.0,93.13
Line-A,Type-X,102.31,49.0,42.55,1.0177,118.4,206.09,8.0,94.47
Line-B,Type-Y,99.82,51.7,57.01,0.6774,117.1,176.71,8.0,96.0
Line-A,Type-Y,93.62,47.46,65.71,1.0543,102.1,203.55,8.0,94.19
Line-B,Type-X,96.74,47.68,45.52,0.8669,99.0,195.53,3.0,93.41
Line-B,Type-Y,100.51,46.35,55.34,0.7393,110.6,198.44,10.0,95.91
Line-A,Type-Z,97.79,51.63,61.73,1.2316,,180.9,4.0,93.19
Line-B,Type-Y,98.99,49.19,36.22,1.0338,121.9,202.46,8.0,96.45
Line-A,Type-Z,105.74,51.3,,1.1705,125.4,211.29,9.0,93.5
Line-A,Type-Z,98.95,49.03,45.96,0.8195,131.3,213.54,10.0,94.47
Line-B,Type-Z,102.66,48.06,56.08,0.9677,122.6,217.51,7.0,94.42
Line-A,Type-X,102.64,48.94,68.9,0.9155,123.7,152.97,8.0,95.8
Line-A,Type-X,98.39,49.75,32.82,1.0398,107.8,189.21,10.0,95.73
Line-A,Type-Y,106.41,,55.96,0.9468,131.6,215.75,4.0,94.54
Line-B,Type-X,96.64,47.74,57.18,1.0206,114.0,196.9,8.0,94.87
Line-B,Type-X,97.54,47.87,46.74,1.3524,126.1,204.47,5.0,94.19
Line-A,Type-Y,100.5,47.9,50.01,1.022,123.5,215.65,9.0,95.7
Line-A,Type-X,98.89,48.13,62.31,0.5338,142.0,152.77,7.0,94.19
Line-B,Type-Y,98.74,50.34,46.84,1.089,123.0,180.13,7.0,96.7
Line-A,Type-X,96.1,49.46,42.0,1.2164,112.4,192.54,2.0,95.09
Line-A,Type-Y,97.15,49.03,40.69,1.0793,116.0,209.97,4.0,96.43
Line-B,Type-X,104.08,49.67,,1.0748,111.4,231.91,4.0,94.33
Line-B,Type-X,97.16,50.13,37.61,0.4984,107.4,193.61,8.0,94.55
Line-A,Type-X,98.84,48.36,31.82,0.5922,106.3,201.9,9.0,93.42
Line-A,Type-X,102.45,51.07,49.26,1.3275,112.7,187.99,5.0,94.63
Line-A,Type-Y,97.93,50.9,66.26,1.0704,124.4,215.95,3.0,95.79
Line-A,Type-Y,96.62,50.7,61.82,0.8558,117.7,185.26,10.0,95.8
