production_line,shift,operator_experience_years,processing_time_min,temperature,humidity,measurement_A,measurement_B,measurement_C,defect_status
Line-1,주간,14.0,30.4,23.3,44.3,120.69,168.28,50.87,0
Line-3,주간,4.0,38.1,24.4,47.0,97.08,177.2,40.62,0
Line-2,주간,9.0,30.0,26.7,59.8,110.33,214.53,65.61,0
Line-3,야간,2.0,20.6,27.9,40.0,105.97,211.68,62.31,0
Line-3,야간,15.0,36.2,23.3,44.7,95.02,222.46,49.96,0
Line-1,야간,6.0,35.2,23.3,36.9,90.73,193.76,40.35,0
Line-1,주간,0.0,31.7,28.0,58.5,104.46,199.62,52.24,0
Line-3,야간,15.0,24.9,26.0,45.9,96.82,218.02,46.96,0
Line-3,주간,10.0,27.8,26.2,59.7,91.18,178.18,40.84,0
Line-1,주간,0.0,26.6,21.4,46.1,93.74,210.41,47.94,0
Line-2,야간,4.0,24.4,22.4,54.0,87.02,179.72,44.88,0
Line-1,야간,15.0,21.3,21.3,43.6,89.53,167.02,44.1,0
Line-2,주간,12.0,33.3,22.5,52.3,90.7,231.3,45.74,0
Line-1,야간,1.0,35.7,30.3,51.9,102.38,198.1,57.27,0
Line-1,야간,1.0,34.4,26.1,36.3,102.67,175.73,56.16,0
Line-3,야간,8.0,26.8,23.2,63.5,104.88,176.41,46.09,0
Line-3,야간,,,26.4,56.5,106.64,166.86,63.7,1
Line-1,야간,15.0,37.1,24.0,38.6,113.81,211.81,48.28,0
Line-3,야간,0.0,25.5,23.9,43.9,111.42,225.97,49.03,0
Line-2,주간,6.0,41.4,25.5,52.5,89.49,182.88,59.06,0
Line-3,주간,15.0,32.5,19.5,51.4,82.81,194.63,42.06,0
Line-3,야간,7.0,,18.1,52.4,93.66,203.68,47.54,0
Line-1,주간,9.0,38.1,25.7,68.8,104.72,191.17,53.63,0
Line-2,주간,9.0,25.6,21.7,55.2,97.87,235.48,51.66,0
Line-2,주간,12.0,39.7,24.1,51.9,94.19,205.17,47.99,0
Line-1,주간,6.0,,21.4,47.2,99.73,202.66,41.49,0
Line-1,야간,13.0,24.1,26.6,61.9,106.14,236.87,58.77,0
Line-2,주간,5.0,33.4,27.0,51.0,114.42,202.17,53.42,0
Line-2,주간,14.0,33.1,26.5,73.5,107.28,204.31,47.9,0
Line-3,야간,7.0,,25.8,46.4,111.79,219.63,44.73,0
Line-1,야간,9.0,23.7,30.4,31.0,77.76,165.96,45.92,0
Line-3,야간,15.0,18.0,22.3,53.9,98.98,184.18,50.58,0
Line-1,야간,6.0,24.0,26.4,54.9,88.14,180.67,58.18,0
Line-2,야간,8.0,27.3,29.3,52.2,97.83,215.32,43.57,0
Line-3,야간,2.0,30.3,20.4,42.8,107.33,213.63,49.09,0
Line-3,야간,15.0,32.7,24.1,39.1,114.4,179.92,53.15,0
Line-3,야간,14.0,38.4,28.0,28.7,118.74,190.52,49.02,0
Line-3,야간,9.0,30.2,21.8,58.3,93.37,192.37,55.74,0
Line-2,주간,6.0,31.2,24.1,51.5,91.1,216.09,49.41,0
Line-2,야간,1.0,38.9,27.1,40.8,99.67,223.32,44.08,0
Line-2,주간,9.0,37.4,21.8,44.5,106.22,212.49,49.38,0
Line-3,주간,15.0,26.8,28.9,54.6,97.15,211.34,52.31,0
Line-1,야간,15.0,,24.6,24.4,110.23,193.7,52.12,0
Line-1,주간,1.0,29.4,22.8,50.1,108.52,164.58,49.24,0
Line-3,주간,3.0,24.2,23.6,43.0,99.35,197.62,52.71,0
Line-2,야간,6.0,26.1,26.4,53.8,102.53,174.82,53.83,0
Line-1,주간,8.0,38.2,21.8,36.2,98.78,203.33,59.07,0
Line-1,야간,10.0,36.0,23.1,48.0,106.9,211.72,45.06,0
Line-3,야간,7.0,29.4,21.1,41.2,101.99,183.47,53.81,0
Line-2,야간,9.0,28.5,27.7,50.6,107.19,210.87,50.45,0
Line-1,야간,10.0,28.0,30.6,70.2,94.85,210.27,55.4,0
Line-1,야간,14.0,28.6,22.9,59.2,95.02,204.15,49.99,0
Line-1,야간,8.0,40.1,24.7,46.8,94.82,178.17,50.88,0
Line-3,주간,11.0,26.3,24.0,62.5,104.86,216.24,44.47,0
Line-3,주간,0.0,32.9,26.9,39.7,89.2,208.35,61.14,0
Line-1,야간,6.0,31.0,29.5,39.8,97.27,189.58,43.45,0
Line-2,주간,3.0,31.4,27.2,53.6,76.81,194.8,52.69,0
Line-2,주간,0.0,34.8,24.1,51.4,103.3,205.5,56.22,0
Line-2,야간,10.0,27.1,28.2,58.0,96.03,164.46,51.15,0
Line-3,야간,11.0,27.8,32.3,57.6,72.88,188.86,47.69,0
Line-2,주간,3.0,31.9,26.1,46.5,95.76,216.92,53.04,0
Line-2,야간,9.0,28.9,24.0,56.3,87.26,212.1,44.73,0
Line-1,주간,9.0,28.7,17.5,44.9,109.93,153.5,53.66,0
Line-3,야간,10.0,21.8,23.5,42.1,110.27,224.48,60.09,0
Line-2,야간,13.0,34.2,27.2,58.6,99.43,248.45,57.37,0
Line-2,야간,15.0,27.2,28.7,69.9,96.21,219.94,49.4,0
Line-2,야간,6.0,37.2,27.1,36.9,87.97,187.63,57.61,0
Line-1,주간,15.0,37.1,23.5,42.7,106.58,192.37,54.92,0
Line-2,야간,11.0,32.2,29.9,68.8,89.49,192.37,64.8,0
Line-1,주간,1.0,27.4,27.9,59.3,100.54,202.79,55.98,0
Line-1,주간,3.0,31.0,25.3,62.1,95.86,221.0,49.95,0
Line-2,주간,14.0,30.9,20.4,63.9,119.71,202.25,54.49,0
Line-3,주간,11.0,33.4,21.9,43.8,104.18,196.81,62.58,0
Line-1,야간,0.0,19.7,23.2,18.0,115.73,160.44,48.53,0
Line-1,야간,2.0,36.3,25.5,59.1,93.53,204.95,54.3,0
Line-3,야간,7.0,29.2,27.3,50.0,97.3,186.19,45.2,0
Line-3,주간,9.0,24.3,24.2,58.2,106.69,214.15,47.1,0
Line-2,주간,5.0,25.4,18.3,55.7,107.24,186.38,46.44,0
Line-2,주간,6.0,34.1,28.6,64.6,118.49,211.21,53.64,0
Line-1,주간,,37.0,23.1,44.8,86.76,192.37,42.8,0
Line-2,야간,1.0,24.3,22.9,42.3,113.61,204.38,42.93,0
Line-2,야간,11.0,36.5,22.8,56.6,118.95,182.32,50.08,0
Line-1,주간,0.0,32.4,21.5,37.5,98.53,202.77,49.22,0
Line-1,야간,14.0,23.2,24.9,50.4,101.21,192.37,55.68,0
Line-2,야간,7.0,31.9,25.0,58.7,84.02,210.86,52.98,0
Line-3,야간,6.0,29.7,20.7,47.4,99.95,206.27,46.89,0
Line-1,주간,12.0,16.9,22.3,67.5,102.4,212.79,53.9,0
Line-1,야간,0.0,35.4,25.7,63.6,93.06,192.37,51.54,0
Line-1,야간,15.0,32.0,25.8,51.9,102.42,202.95,45.55,0
Line-1,야간,1.0,29.5,26.4,52.9,108.51,216.83,52.43,0
Line-1,주간,13.0,32.0,24.0,45.9,106.72,232.28,52.51,0
Line-3,야간,9.0,33.6,23.0,55.0,106.69,168.43,52.99,0
Line-1,야간,7.0,31.0,22.6,57.2,110.26,198.64,45.13,0
Line-2,주간,2.0,27.6,22.5,58.8,106.88,203.66,41.25,0
Line-2,야간,13.0,23.6,25.4,41.1,97.33,163.34,54.29,0
Line-1,야간,11.0,34.0,23.1,29.7,85.91,192.37,50.74,0
Line-2,주간,1.0,18.8,26.5,46.9,83.29,193.0,53.18,0
Line-3,야간,11.0,28.0,22.8,47.3,109.79,192.37,54.14,0
Line-3,야간,0.0,29.1,26.8,56.4,100.47,175.56,53.45,0
Line-2,야간,5.0,30.1,29.1,40.6,84.57,184.63,52.33,0
Line-1,야간,4.0,30.7,16.9,52.4,121.18,170.54,42.12,0
Line-2,야간,3.0,20.7,30.5,48.3,98.64,167.45,52.85,0
Line-2,주간,2.0,30.4,26.9,57.1,105.36,182.46,58.2,0
Line-1,주간,13.0,22.7,23.7,44.9,130.61,183.86,47.97,0
Line-1,주간,5.0,20.7,24.1,61.7,91.15,222.32,50.61,0
Line-3,야간,9.0,37.1,25.5,51.9,87.6,220.88,49.22,0
Line-1,야간,11.0,34.6,26.8,25.0,100.58,212.85,44.96,0
Line-2,야간,2.0,,28.4,38.8,87.41,204.46,53.76,0
Line-1,주간,13.0,33.4,28.0,53.5,103.93,210.02,53.11,0
Line-1,야간,11.0,33.5,23.9,40.5,83.04,178.63,56.14,0
Line-2,주간,4.0,,30.9,41.9,96.49,209.96,52.46,0
Line-1,주간,9.0,27.7,25.3,52.0,85.75,188.93,43.57,0
Line-3,야간,11.0,31.5,23.7,39.0,101.45,196.55,53.71,0
Line-2,야간,0.0,30.3,25.8,57.5,96.97,199.54,54.19,0
Line-3,야간,0.0,19.5,26.8,44.1,106.59,213.01,50.63,0
Line-1,주간,14.0,39.7,24.2,57.5,88.3,198.42,50.06,0
Line-2,야간,,27.5,22.7,51.9,102.96,217.66,44.73,0
Line-3,야간,12.0,37.0,18.7,48.0,116.06,157.79,50.29,0
Line-1,야간,6.0,27.3,26.3,42.6,112.02,228.38,48.55,0
Line-1,주간,4.0,33.8,24.1,35.4,106.38,193.62,44.73,0
Line-1,주간,0.0,26.4,26.4,63.0,80.4,208.94,50.19,0
Line-1,주간,14.0,23.8,29.1,52.0,81.26,201.76,45.77,0
Line-2,주간,14.0,29.4,24.0,50.5,89.49,175.74,55.91,0
Line-2,야간,1.0,26.1,29.2,50.2,92.48,198.2,44.73,0
Line-2,주간,1.0,32.8,24.1,42.8,97.02,212.69,51.61,0
Line-3,주간,8.0,35.8,24.7,65.4,104.88,205.73,53.85,0
Line-3,주간,7.0,28.8,25.3,48.9,105.72,186.65,40.1,0
Line-2,야간,10.0,20.6,26.1,53.3,94.74,182.78,45.08,0
Line-3,주간,3.0,33.4,26.5,43.5,108.12,181.31,51.35,0
Line-3,주간,2.0,25.9,31.2,56.9,104.22,182.61,43.31,0
Line-3,야간,13.0,32.2,22.1,54.8,97.68,192.37,49.34,0
Line-2,주간,11.0,28.0,31.3,34.4,119.75,223.44,50.37,0
Line-2,주간,13.0,35.2,23.7,54.4,105.3,242.3,50.1,0
Line-1,주간,3.0,42.3,22.4,35.7,102.16,172.99,53.7,0
Line-1,야간,3.0,26.2,30.1,28.1,111.94,201.82,52.86,0
Line-2,야간,10.0,32.7,26.0,35.4,105.87,224.23,47.45,0
Line-1,야간,1.0,38.3,26.2,60.6,97.53,203.19,38.58,0
Line-2,주간,2.0,25.9,26.0,42.9,104.3,206.28,48.52,0
Line-2,야간,2.0,40.1,20.4,44.6,103.76,200.42,54.67,0
Line-3,야간,6.0,31.8,25.3,59.0,109.26,193.24,53.95,0
Line-3,주간,,31.6,27.6,58.5,105.61,227.21,53.36,0
Line-2,야간,1.0,39.1,21.2,69.5,105.37,197.38,50.1,0
Line-3,야간,11.0,30.9,19.5,65.2,99.25,189.9,43.4,0
Line-2,야간,12.0,26.6,25.0,56.5,100.15,197.5,50.0,0
Line-1,주간,1.0,28.5,27.0,57.0,79.45,145.61,41.59,0
Line-3,주간,12.0,25.8,28.4,47.2,99.39,186.44,45.16,0
Line-3,야간,5.0,33.4,26.4,51.9,112.11,185.89,44.34,0
Line-3,야간,5.0,31.9,24.3,59.1,114.19,191.13,46.64,0
Line-3,주간,5.0,31.1,21.4,44.3,92.31,201.3,51.3,0
Line-2,야간,6.0,26.7,24.6,60.6,96.44,177.12,51.18,0
Line-2,주간,1.0,26.0,25.0,45.2,95.47,200.58,54.17,0
Line-2,주간,12.0,26.6,26.0,41.4,92.26,173.73,41.31,0
Line-3,주간,11.0,27.9,24.1,46.8,90.53,178.92,53.59,0
Line-1,주간,2.0,25.0,23.1,56.2,98.03,201.11,43.12,0
Line-3,야간,9.0,33.0,24.3,51.2,97.99,165.37,47.72,0
Line-3,주간,0.0,34.1,26.2,42.3,94.69,146.22,50.1,0
Line-2,야간,4.0,32.0,26.6,57.5,105.33,192.63,44.09,0
Line-1,주간,8.0,29.0,21.1,61.5,115.87,211.65,50.77,0
Line-3,주간,10.0,30.1,23.5,43.7,99.43,228.36,46.7,0
Line-2,주간,8.0,34.8,31.1,35.9,91.07,176.84,52.5,0
Line-2,주간,11.0,44.1,26.4,56.0,98.31,150.02,46.36,0
Line-1,주간,15.0,34.3,29.8,31.6,112.3,208.78,58.47,0
Line-3,야간,6.0,28.8,26.8,51.9,82.49,187.91,49.56,0
Line-2,주간,1.0,17.7,22.8,31.8,86.21,194.16,42.75,0
Line-1,야간,11.0,40.6,17.3,47.7,94.38,195.87,44.42,0
Line-1,주간,13.0,30.0,24.8,47.6,101.65,162.75,52.67,0
Line-2,야간,1.0,28.8,22.1,59.7,91.19,197.63,46.88,0
Line-2,야간,10.0,33.9,24.9,40.4,112.26,202.4,48.45,0
Line-1,주간,8.0,28.2,27.0,49.7,74.46,193.22,51.94,0
Line-2,야간,4.0,26.0,22.5,62.3,117.95,206.78,55.47,0
Line-2,주간,9.0,37.5,28.7,43.0,103.09,203.85,44.54,0
Line-3,야간,13.0,39.9,24.3,48.7,89.5,205.08,52.21,0
Line-3,주간,10.0,37.4,26.4,47.3,104.53,197.77,49.18,0
Line-1,야간,0.0,23.4,22.2,43.6,107.44,210.18,49.42,0
Line-1,주간,8.0,29.2,25.4,38.8,98.14,210.77,48.12,0
Line-1,야간,6.0,40.9,26.4,40.2,99.4,177.38,58.24,0
Line-3,주간,6.0,,27.4,55.8,104.12,178.56,57.12,0
Line-3,주간,4.0,31.7,29.3,41.5,99.48,231.89,44.63,0
Line-1,주간,9.0,29.5,25.3,44.4,114.29,190.24,47.27,0
Line-1,야간,6.0,34.1,28.2,66.6,90.4,212.28,47.74,0
Line-3,야간,4.0,27.3,20.7,53.3,105.49,205.17,55.2,0
Line-1,주간,10.0,24.2,19.8,55.0,100.19,228.42,52.6,0
Line-1,주간,7.0,23.7,23.5,58.2,91.32,177.54,46.39,0
Line-1,야간,11.0,21.1,22.9,51.1,106.5,233.06,48.9,0
Line-3,야간,0.0,33.2,25.1,57.4,103.88,202.48,46.08,0
Line-2,야간,12.0,37.8,28.6,57.1,93.64,176.38,58.02,0
Line-3,야간,3.0,38.7,29.3,37.3,98.04,240.57,59.75,0
Line-3,야간,14.0,23.2,21.5,44.0,101.75,185.98,45.36,0
Line-3,야간,11.0,30.0,26.4,57.3,100.33,227.74,58.97,0
Line-2,주간,1.0,28.9,32.0,44.0,96.77,183.94,52.82,0
Line-1,주간,3.0,36.1,21.5,57.9,77.12,192.35,43.73,0
Line-1,주간,6.0,33.5,20.8,50.0,92.5,207.06,57.96,0
Line-2,야간,2.0,27.7,27.2,50.1,117.24,205.01,49.32,0
Line-3,주간,6.0,24.4,18.8,46.1,96.66,198.1,54.0,0
Line-2,야간,12.0,28.2,22.4,42.6,101.64,185.2,54.53,0
Line-3,야간,13.0,27.5,26.2,39.7,89.71,182.98,52.75,0
Line-1,야간,1.0,33.1,20.2,41.4,108.99,196.03,46.73,0
Line-2,주간,6.0,30.6,28.7,54.4,103.02,205.97,48.04,0
Line-3,야간,12.0,25.0,22.3,45.1,107.69,194.63,52.69,0
Line-2,야간,15.0,29.0,25.7,39.9,82.09,224.59,40.16,0
Line-2,주간,0.0,32.5,21.1,53.4,89.6,201.22,47.21,0
Line-2,주간,7.0,,25.0,44.2,86.73,212.37,46.84,0
Line-1,야간,10.0,36.4,25.5,59.5,93.27,210.6,58.3,0
Line-1,주간,1.0,26.5,23.7,54.3,90.68,233.08,49.01,0
Line-2,야간,9.0,36.8,25.8,56.3,82.9,210.31,48.75,0
Line-2,주간,0.0,22.8,24.7,41.8,98.19,192.37,55.02,0
Line-2,야간,4.0,27.0,23.7,65.9,93.64,179.71,49.53,0
Line-2,주간,9.0,31.1,27.3,54.9,98.24,195.52,49.07,0
Line-1,주간,4.0,35.3,26.4,62.6,110.75,196.86,50.05,0
Line-1,주간,9.0,27.5,28.7,36.3,101.3,232.13,55.66,0
Line-3,주간,5.0,32.2,25.4,53.8,106.72,228.15,54.13,0
Line-1,야간,6.0,30.1,21.7,64.8,113.8,188.07,56.64,0
Line-2,주간,3.0,33.7,25.9,43.1,101.89,192.37,53.22,0
Line-1,야간,10.0,40.7,24.8,37.7,97.57,185.11,47.17,0
Line-3,야간,0.0,27.4,24.3,42.7,109.52,188.95,59.24,0
Line-1,야간,15.0,29.9,23.4,60.3,105.22,192.37,49.1,0
Line-1,주간,15.0,23.8,28.1,32.6,102.62,155.26,45.88,0
Line-2,주간,9.0,30.0,25.4,58.1,100.87,209.67,42.99,0
Line-3,야간,6.0,22.6,20.8,59.1,92.04,186.21,40.13,0
Line-1,야간,6.0,29.9,20.6,38.0,102.15,222.58,51.22,0
Line-1,야간,14.0,26.7,23.8,30.7,92.64,219.74,43.42,0
Line-1,야간,14.0,30.7,26.1,47.6,83.21,206.0,49.26,0
Line-3,주간,10.0,23.5,23.0,63.3,104.15,169.02,50.27,0
Line-1,야간,9.0,28.8,22.0,46.5,91.19,226.54,51.1,0
Line-1,주간,4.0,23.2,24.2,38.6,87.66,215.39,59.9,0
Line-3,주간,14.0,27.9,24.9,50.2,91.75,201.42,44.03,0
Line-2,야간,2.0,20.0,22.8,56.8,87.36,206.13,47.86,0
Line-1,야간,15.0,33.5,28.8,47.6,95.22,177.52,44.9,0
Line-3,야간,8.0,34.6,27.7,65.4,86.37,172.37,52.79,0
Line-2,주간,10.0,30.2,25.7,47.4,99.18,161.76,53.62,0
Line-2,야간,14.0,19.1,19.7,37.1,106.49,200.76,47.55,0
Line-3,야간,7.0,32.3,26.7,33.9,94.96,204.44,51.43,0
Line-2,주간,0.0,32.9,26.5,48.8,119.59,185.47,56.72,0
Line-2,야간,1.0,26.2,26.2,68.4,97.78,171.29,49.73,0
Line-3,야간,13.0,,25.9,45.5,88.37,171.72,57.0,0
Line-1,야간,1.0,,24.6,42.7,89.49,177.75,51.5,0
Line-2,주간,15.0,27.8,26.4,77.3,91.81,193.92,56.24,0
Line-2,주간,12.0,29.0,22.5,50.2,106.78,202.82,50.13,0
Line-1,야간,4.0,,26.8,42.5,106.11,192.37,44.73,0
Line-3,야간,11.0,29.9,26.9,47.8,112.8,199.01,40.84,0
Line-2,주간,6.0,25.0,26.1,43.9,107.44,210.75,48.75,0
Line-1,주간,5.0,22.8,26.3,46.7,105.17,184.84,47.98,0
Line-2,주간,8.0,31.9,25.2,31.5,90.56,192.37,50.08,0
Line-3,야간,12.0,31.8,23.9,49.9,90.08,180.39,52.83,0
Line-3,야간,12.0,29.4,24.6,50.6,114.71,200.92,44.42,0
Line-3,야간,0.0,34.3,23.6,49.5,116.41,175.38,43.94,0
Line-1,야간,5.0,32.3,27.9,56.5,114.66,183.65,48.3,0
Line-2,주간,9.0,19.4,22.4,45.2,102.0,197.0,60.37,0
Line-1,주간,8.0,36.7,23.0,52.1,81.65,191.49,45.22,0
Line-1,야간,3.0,42.1,26.5,50.1,104.28,165.03,47.99,0
Line-3,주간,5.0,19.9,20.9,52.9,89.07,233.16,52.68,0
Line-2,주간,4.0,33.5,27.7,53.6,91.5,193.75,52.43,0
Line-2,야간,3.0,30.8,20.5,39.8,104.54,187.7,53.85,0
Line-1,야간,3.0,34.7,21.9,39.9,111.7,244.49,53.69,0
Line-1,주간,7.0,29.1,24.9,40.8,87.59,192.37,53.57,0
Line-3,야간,,30.4,26.4,42.9,111.62,172.21,43.82,0
Line-3,주간,4.0,35.3,25.5,48.6,101.3,155.03,42.67,0
Line-1,야간,0.0,35.5,30.0,47.5,114.64,181.58,44.33,0
Line-3,주간,12.0,28.1,22.1,68.6,80.0,193.63,43.61,0
Line-1,야간,12.0,23.7,27.9,57.9,93.08,238.62,46.67,0
Line-1,주간,9.0,38.4,24.4,54.5,95.8,202.99,52.8,0
Line-2,주간,2.0,35.4,24.7,45.7,99.76,206.0,54.5,0
Line-1,야간,1.0,22.2,21.4,51.9,97.61,170.94,44.03,0
Line-1,주간,9.0,29.9,25.4,50.7,117.66,181.1,62.21,0
Line-2,야간,6.0,29.1,27.5,56.2,117.12,174.67,47.02,0
Line-1,야간,1.0,31.4,29.3,38.4,100.02,178.87,40.93,0
Line-2,야간,12.0,36.5,26.6,54.5,111.39,187.4,42.7,0
Line-1,야간,5.0,27.3,21.6,42.8,92.02,209.15,59.16,0
Line-1,주간,11.0,32.7,26.4,66.1,104.79,189.44,52.47,0
Line-2,주간,7.0,29.4,22.5,67.1,105.91,261.26,55.4,0
Line-2,주간,5.0,29.9,27.3,38.3,97.68,150.65,40.45,0
Line-3,야간,5.0,30.6,23.0,31.4,89.53,174.07,51.46,0
Line-3,주간,3.0,35.6,19.7,47.0,98.1,179.45,37.87,0
Line-1,주간,2.0,34.4,24.3,56.8,105.08,174.25,54.66,0
Line-2,야간,6.0,23.5,26.0,56.1,99.37,170.26,52.53,0
Line-2,주간,1.0,28.2,32.2,51.9,86.31,192.76,61.05,0
Line-2,주간,3.0,31.3,27.2,35.8,123.25,210.21,46.59,0
Line-1,주간,10.0,34.6,24.1,62.2,104.91,198.14,46.67,0
Line-3,주간,8.0,25.7,24.5,54.8,108.63,194.83,49.78,0
Line-1,야간,9.0,22.7,21.9,63.2,101.03,198.29,53.93,0
Line-3,주간,0.0,34.4,26.4,54.2,96.91,221.74,50.51,0
Line-2,야간,13.0,23.6,29.7,46.6,86.74,218.87,50.38,0
Line-3,주간,8.0,31.9,23.5,26.0,97.04,198.28,47.64,0
Line-2,주간,14.0,26.3,23.9,51.9,83.59,201.37,50.31,0
Line-2,주간,0.0,26.2,26.9,57.9,107.95,216.33,48.05,0
Line-3,야간,3.0,34.6,22.7,57.8,112.38,208.12,42.21,0
Line-3,야간,0.0,26.7,22.6,54.8,90.38,192.37,47.28,0
Line-2,야간,13.0,20.2,27.8,47.6,89.55,184.35,48.99,0
Line-3,야간,10.0,24.2,29.3,56.9,92.71,213.98,48.42,0
Line-2,야간,6.0,31.3,23.9,54.0,94.36,252.84,53.98,0
Line-1,야간,8.0,,25.6,31.1,96.95,215.57,43.86,0
Line-1,야간,,31.7,22.5,42.3,108.03,203.17,58.98,0
Line-1,주간,9.0,33.6,25.1,55.0,80.71,220.02,51.12,0
Line-3,주간,15.0,28.1,25.1,56.6,102.18,176.3,45.3,0
Line-2,주간,8.0,30.9,23.5,47.0,105.73,196.12,50.2,0
Line-1,주간,9.0,30.3,24.3,66.7,99.79,214.15,48.32,0
Line-2,주간,3.0,34.1,23.8,58.8,96.27,202.27,50.75,0
Line-1,야간,7.0,26.5,25.1,42.6,92.46,194.51,54.54,0
Line-1,야간,13.0,31.1,25.8,40.9,106.77,217.41,48.61,0
Line-2,야간,9.0,38.5,25.9,56.8,100.87,195.02,41.52,0
Line-3,야간,12.0,21.7,29.8,34.8,107.64,180.32,44.76,0
Line-1,주간,1.0,38.1,22.7,52.5,109.74,211.13,49.66,0
Line-3,야간,6.0,14.2,23.9,60.8,105.33,221.88,51.55,0
Line-3,야간,15.0,26.7,22.3,65.0,111.96,175.35,44.46,0
Line-1,주간,3.0,32.0,23.5,52.7,95.1,217.19,46.31,0
Line-1,주간,15.0,,24.3,60.8,99.0,173.2,55.37,0
Line-2,야간,15.0,25.2,25.1,51.2,109.41,210.79,44.11,0
Line-1,야간,1.0,26.8,24.9,37.1,101.76,193.93,43.8,0
Line-3,야간,9.0,26.9,27.6,43.0,106.01,206.12,53.27,0
Line-3,야간,15.0,35.3,28.9,60.5,90.09,226.17,48.89,0
Line-1,야간,6.0,31.7,20.8,72.8,102.74,176.05,50.63,0
Line-1,주간,6.0,27.2,23.4,36.7,101.5,207.9,50.7,0
Line-1,야간,8.0,30.8,23.9,77.5,89.49,198.91,44.71,0
Line-3,야간,7.0,27.6,23.0,47.3,97.63,208.18,46.63,0
Line-3,주간,11.0,27.9,25.5,54.8,82.03,200.7,54.96,0
Line-1,주간,6.0,29.3,26.4,49.8,98.01,184.22,47.9,0
Line-3,야간,15.0,30.1,29.4,51.9,106.05,227.04,50.12,0
Line-2,주간,0.0,39.2,23.8,51.2,86.99,195.62,51.47,0
Line-1,주간,15.0,30.3,21.3,51.9,82.89,209.18,46.06,0
Line-3,야간,10.0,29.4,24.3,50.8,104.12,154.56,44.34,0
Line-1,주간,3.0,31.0,23.8,50.4,103.62,173.58,54.44,0
Line-3,야간,14.0,22.2,21.6,48.0,96.58,206.21,55.18,0
Line-1,야간,15.0,28.2,30.7,33.6,93.87,195.7,46.64,0
Line-2,주간,12.0,29.7,22.6,47.0,118.69,192.5,48.92,0
Line-3,야간,5.0,31.9,21.3,63.7,97.21,216.22,56.43,0
Line-3,야간,5.0,32.9,22.4,53.5,117.06,237.22,47.21,0
Line-1,야간,11.0,32.6,22.4,52.4,94.12,253.81,43.87,0
Line-3,야간,9.0,32.0,21.6,52.0,103.49,177.16,51.13,0
Line-3,야간,4.0,24.6,27.3,45.2,121.38,192.37,51.59,0
Line-2,야간,5.0,32.7,18.3,52.5,105.72,209.83,46.04,0
Line-1,주간,14.0,31.6,24.8,38.1,103.59,149.29,62.64,0
Line-2,주간,11.0,28.8,23.5,51.0,83.75,219.64,50.93,0
Line-1,주간,8.0,21.1,24.4,51.1,93.47,210.01,45.4,0
Line-2,주간,15.0,30.4,20.9,38.6,110.35,176.18,47.06,0
Line-2,주간,3.0,30.0,24.7,48.2,116.04,180.58,56.1,0
Line-2,야간,13.0,30.8,27.4,53.3,104.79,226.28,48.74,0
Line-3,주간,9.0,28.5,23.3,64.3,90.43,177.65,39.34,0
Line-3,주간,9.0,24.7,21.9,57.1,94.1,195.8,44.73,0
Line-2,주간,6.0,27.0,26.6,64.6,90.8,201.48,52.34,0
Line-2,주간,4.0,29.4,26.3,58.9,89.49,197.26,50.13,0
Line-2,야간,5.0,26.5,26.7,48.8,98.05,221.97,50.22,0
Line-2,주간,4.0,35.5,26.1,59.0,120.0,196.86,54.27,0
Line-3,야간,9.0,28.8,21.7,51.3,89.75,192.15,53.66,0
Line-2,주간,0.0,36.1,19.4,58.4,113.2,216.14,52.73,0
Line-1,야간,0.0,21.5,28.5,56.9,82.28,186.15,49.2,0
Line-2,주간,13.0,32.8,26.6,50.6,91.51,182.47,47.53,0
Line-1,야간,8.0,32.5,26.4,22.5,105.06,195.94,45.93,0
Line-3,주간,3.0,27.2,26.4,36.1,97.61,232.34,51.2,0
Line-3,야간,12.0,30.5,20.8,51.9,98.98,191.5,50.4,0
Line-1,주간,2.0,30.8,26.4,51.5,104.3,201.33,55.61,0
Line-3,주간,8.0,27.8,27.9,45.0,74.03,197.16,49.45,0
Line-3,야간,5.0,29.0,21.1,31.2,109.19,226.54,50.9,0
Line-3,주간,1.0,30.7,24.9,49.0,111.22,195.0,45.43,0
Line-2,주간,9.0,20.5,24.2,46.3,113.4,190.33,50.34,0
Line-3,야간,1.0,35.5,24.5,49.0,92.94,205.89,54.44,0
Line-1,야간,11.0,26.2,26.4,67.8,88.96,192.68,51.86,0
Line-2,야간,4.0,20.9,26.9,59.7,112.08,184.29,46.18,0
Line-1,주간,4.0,24.4,31.7,47.7,115.39,175.81,53.44,0
Line-1,야간,,30.5,24.7,55.8,106.31,206.9,46.93,0
Line-2,주간,11.0,,24.3,48.1,88.37,221.04,43.96,0
Line-2,주간,7.0,27.5,24.5,41.8,93.22,205.95,50.86,0
Line-1,야간,3.0,19.2,27.8,63.8,107.57,205.13,48.67,0
Line-3,야간,5.0,38.6,21.4,73.4,105.91,225.83,49.18,0
Line-1,주간,10.0,17.6,27.4,51.9,99.91,203.48,43.8,0
Line-1,주간,11.0,33.2,28.4,47.1,102.6,194.71,48.35,0
Line-2,주간,10.0,,25.3,39.3,89.58,186.72,47.21,0
Line-1,주간,13.0,31.9,23.1,31.1,96.66,164.5,51.6,0
Line-1,야간,10.0,25.1,17.2,56.6,93.35,178.75,48.49,0
