tenure_months,contract_type,payment_method,internet_service,monthly_charge,total_charges,data_usage_gb,support_calls,addon_services,churn
35.0,2년,지류,기가,140451.0,5562473.0,236.0,0.0,3.0,0
38.0,2년,지류,기가,80900.0,3001109.0,52.0,5.0,0.0,1
68.0,무약정,자동이체,미사용,128046.0,7594941.0,212.0,2.0,4.0,1
8.0,1년,자동이체,광랜,85350.0,753048.0,141.0,2.0,0.0,1
33.0,2년,지류,광랜,,5038681.0,,8.0,,1
66.0,2년,자동이체,기가,43771.0,2751386.0,31.0,6.0,2.0,0
52.0,무약정,지류,광랜,54853.0,2516748.0,277.0,1.0,3.0,0
27.0,2년,신용카드,미사용,79933.0,2506157.0,80.0,3.0,2.0,0
51.0,2년,지류,미사용,127836.0,7046547.0,171.0,3.0,5.0,0
45.0,2년,자동이체,광랜,132452.0,5261570.0,327.0,6.0,4.0,1
55.0,무약정,지류,광랜,146313.0,8462264.0,148.0,10.0,2.0,1
26.0,2년,자동이체,기가,60741.0,1406109.0,409.0,6.0,1.0,0
68.0,2년,지류,광랜,84737.0,6705244.0,174.0,4.0,1.0,0
36.0,2년,지류,광랜,104100.0,4132052.0,168.0,1.0,0.0,0
52.0,무약정,지류,기가,23500.0,1211520.0,470.0,3.0,3.0,1
72.0,1년,지류,미사용,117154.0,9484272.0,339.0,9.0,0.0,1
51.0,2년,지류,광랜,117246.0,5413756.0,438.0,1.0,0.0,1
9.0,2년,신용카드,기가,100664.0,962624.0,272.0,0.0,2.0,0
64.0,무약정,지류,미사용,77962.0,5849382.0,206.0,6.0,1.0,1
62.0,1년,지류,기가,35562.0,2550946.0,360.0,5.0,5.0,0
42.0,무약정,자동이체,,56340.0,1925102.0,477.0,9.0,3.0,1
3.0,무약정,자동이체,기가,54546.0,136065.0,102.0,0.0,2.0,1
17.0,1년,지류,광랜,34953.0,494534.0,340.0,5.0,3.0,1
,1년,지류,광랜,53543.0,1784206.0,463.0,3.0,,1
64.0,2년,지류,광랜,119742.0,8863492.0,85.0,1.0,1.0,0
29.0,무약정,지류,미사용,129988.0,3040005.0,233.0,9.0,4.0,1
52.0,1년,자동이체,기가,119127.0,6255637.0,150.0,4.0,4.0,0
58.0,무약정,,광랜,93087.0,6133591.0,348.0,4.0,1.0,1
44.0,무약정,자동이체,기가,84330.0,3607301.0,179.0,7.0,5.0,1
56.0,무약정,신용카드,기가,57478.0,2830474.0,219.0,1.0,2.0,0
,무약정,지류,미사용,143260.0,8048448.0,190.0,2.0,5.0,1
63.0,2년,신용카드,기가,123450.0,6806431.0,176.0,,1.0,1
36.0,,자동이체,광랜,78489.0,3388223.0,410.0,9.0,2.0,1
17.0,무약정,자동이체,미사용,84701.0,1274796.0,125.0,4.0,4.0,1
34.0,무약정,신용카드,기가,58010.0,1905267.0,68.0,6.0,2.0,1
67.0,무약정,,기가,80192.0,6079814.0,444.0,2.0,4.0,1
42.0,2년,신용카드,기가,79157.0,3371573.0,401.0,4.0,1.0,0
57.0,무약정,자동이체,미사용,,2696934.0,195.0,7.0,1.0,1
27.0,2년,지류,미사용,88469.0,2203096.0,489.0,,1.0,1
39.0,2년,신용카드,광랜,34606.0,1260210.0,74.0,3.0,0.0,0
69.0,2년,자동이체,기가,47098.0,3223635.0,459.0,4.0,2.0,0
38.0,무약정,자동이체,기가,124819.0,4987162.0,323.0,6.0,3.0,1
40.0,무약정,자동이체,광랜,58335.0,2212103.0,84.0,7.0,4.0,1
55.0,2년,지류,광랜,124264.0,7167513.0,297.0,10.0,1.0,1
15.0,1년,신용카드,미사용,117902.0,1630583.0,212.0,6.0,0.0,1
43.0,1년,지류,미사용,117159.0,4617520.0,150.0,1.0,3.0,1
37.0,무약정,지류,광랜,66826.0,2458940.0,214.0,5.0,,1
13.0,무약정,자동이체,광랜,131186.0,1722133.0,97.0,8.0,3.0,1
2.0,2년,자동이체,기가,128773.0,268873.0,12.0,7.0,2.0,1
22.0,2년,지류,기가,51233.0,1329576.0,217.0,5.0,,0
6.0,1년,지류,미사용,43045.0,226978.0,373.0,9.0,3.0,1
52.0,1년,지류,광랜,133853.0,8072366.0,173.0,2.0,2.0,1
58.0,2년,자동이체,기가,104506.0,6737683.0,385.0,10.0,4.0,0
22.0,1년,신용카드,광랜,34116.0,754874.0,447.0,9.0,0.0,1
63.0,2년,자동이체,미사용,53064.0,2791616.0,457.0,5.0,5.0,0
65.0,1년,신용카드,미사용,75170.0,5766401.0,363.0,1.0,0.0,0
56.0,무약정,자동이체,광랜,128519.0,7690423.0,72.0,1.0,4.0,1
36.0,1년,신용카드,기가,71084.0,2921585.0,165.0,5.0,1.0,1
29.0,2년,지류,기가,147141.0,3930158.0,362.0,6.0,0.0,1
42.0,2년,지류,광랜,32886.0,1184009.0,94.0,9.0,4.0,0
56.0,무약정,신용카드,미사용,49734.0,3063762.0,335.0,8.0,5.0,0
34.0,1년,자동이체,광랜,117773.0,4589691.0,460.0,10.0,0.0,1
19.0,2년,신용카드,기가,,3071773.0,427.0,3.0,4.0,1
63.0,2년,자동이체,광랜,33476.0,2262019.0,332.0,5.0,2.0,0
72.0,무약정,지류,기가,43215.0,2544126.0,407.0,5.0,3.0,1
44.0,2년,,광랜,85428.0,3633303.0,254.0,0.0,1.0,0
8.0,무약정,신용카드,미사용,45390.0,319507.0,491.0,0.0,0.0,1
48.0,무약정,지류,기가,113897.0,5709952.0,429.0,0.0,0.0,1
26.0,1년,자동이체,미사용,115437.0,,212.0,0.0,4.0,1
15.0,2년,신용카드,미사용,72100.0,896527.0,492.0,0.0,1.0,0
31.0,무약정,지류,미사용,108497.0,3259792.0,367.0,9.0,0.0,1
69.0,1년,신용카드,기가,76910.0,4536661.0,492.0,0.0,0.0,0
14.0,2년,자동이체,기가,27965.0,341381.0,384.0,3.0,5.0,0
41.0,2년,자동이체,미사용,113114.0,5339516.0,257.0,5.0,3.0,1
58.0,2년,자동이체,광랜,112247.0,5601852.0,108.0,0.0,2.0,0
28.0,2년,자동이체,기가,83559.0,2205767.0,36.0,8.0,0.0,1
25.0,무약정,신용카드,광랜,34739.0,996095.0,203.0,5.0,4.0,1
71.0,2년,자동이체,광랜,37114.0,,425.0,4.0,3.0,0
51.0,무약정,자동이체,미사용,110374.0,5418099.0,338.0,0.0,1.0,1
20.0,2년,,기가,64695.0,1147598.0,86.0,1.0,1.0,0
,1년,자동이체,광랜,24292.0,764990.0,,,1.0,0
16.0,1년,신용카드,미사용,118920.0,1883609.0,446.0,10.0,3.0,1
60.0,,자동이체,미사용,75913.0,4474564.0,146.0,0.0,3.0,0
72.0,,자동이체,기가,52109.0,3941874.0,465.0,1.0,5.0,0
18.0,무약정,자동이체,기가,50399.0,1062221.0,455.0,10.0,5.0,1
72.0,무약정,,기가,77765.0,5139659.0,332.0,5.0,,0
42.0,무약정,자동이체,기가,111951.0,4054849.0,411.0,6.0,4.0,1
60.0,1년,자동이체,미사용,90955.0,5243053.0,218.0,4.0,0.0,0
67.0,무약정,신용카드,기가,136114.0,9173792.0,407.0,10.0,0.0,1
36.0,1년,지류,기가,121337.0,3834950.0,100.0,1.0,2.0,1
3.0,1년,자동이체,기가,24122.0,,13.0,9.0,2.0,1
18.0,,지류,기가,67935.0,1060716.0,402.0,8.0,2.0,1
42.0,2년,지류,미사용,112239.0,4898618.0,259.0,0.0,4.0,1
64.0,1년,자동이체,기가,98077.0,5140063.0,132.0,1.0,5.0,0
2.0,2년,신용카드,기가,148947.0,263949.0,473.0,0.0,4.0,1
9.0,2년,신용카드,광랜,105146.0,995783.0,96.0,2.0,4.0,0
63.0,1년,자동이체,광랜,68104.0,,315.0,6.0,3.0,0
6.0,,자동이체,미사용,71822.0,351895.0,81.0,9.0,1.0,1
1.0,2년,신용카드,미사용,73424.0,64268.0,271.0,10.0,4.0,1
17.0,2년,지류,기가,39582.0,684169.0,402.0,5.0,5.0,0
9.0,무약정,자동이체,,61516.0,508437.0,327.0,9.0,1.0,1
39.0,1년,자동이체,미사용,146682.0,4602513.0,330.0,1.0,,0
6.0,무약정,지류,광랜,128260.0,808384.0,311.0,7.0,0.0,1
36.0,1년,신용카드,광랜,146275.0,6297712.0,411.0,9.0,0.0,1
59.0,2년,자동이체,미사용,63658.0,4011527.0,14.0,9.0,1.0,0
36.0,1년,신용카드,기가,,2098628.0,20.0,7.0,4.0,1
15.0,1년,자동이체,광랜,,1311743.0,213.0,3.0,4.0,1
39.0,무약정,,광랜,120097.0,4731172.0,421.0,,4.0,1
64.0,1년,자동이체,광랜,146604.0,,435.0,1.0,0.0,0
43.0,2년,지류,미사용,74953.0,2667319.0,488.0,7.0,2.0,0
28.0,2년,지류,미사용,113189.0,3614817.0,178.0,8.0,0.0,1
27.0,1년,지류,미사용,121039.0,3844123.0,31.0,9.0,2.0,1
17.0,1년,지류,기가,62384.0,851649.0,159.0,8.0,4.0,1
68.0,무약정,지류,기가,58841.0,4632293.0,56.0,8.0,2.0,1
48.0,2년,지류,광랜,72836.0,3059378.0,399.0,4.0,1.0,0
60.0,2년,자동이체,광랜,87361.0,4468654.0,44.0,1.0,3.0,0
11.0,1년,자동이체,미사용,113491.0,1460671.0,179.0,,5.0,1
10.0,,자동이체,미사용,88899.0,814729.0,71.0,7.0,5.0,1
21.0,1년,자동이체,미사용,102467.0,2120162.0,170.0,6.0,5.0,1
11.0,무약정,지류,기가,138023.0,1709611.0,27.0,3.0,4.0,1
10.0,,지류,광랜,47814.0,525633.0,293.0,8.0,5.0,1
15.0,2년,,미사용,22825.0,315475.0,332.0,10.0,1.0,1
71.0,무약정,자동이체,광랜,87788.0,5325592.0,383.0,3.0,4.0,1
64.0,,자동이체,미사용,114219.0,8210050.0,52.0,6.0,2.0,0
3.0,무약정,지류,광랜,98523.0,323638.0,422.0,8.0,1.0,1
,1년,신용카드,미사용,54829.0,2626704.0,326.0,2.0,3.0,0
52.0,1년,지류,광랜,110816.0,5333128.0,,4.0,4.0,1
49.0,2년,자동이체,기가,118511.0,5183504.0,431.0,7.0,1.0,1
55.0,무약정,자동이체,광랜,139446.0,6768292.0,138.0,7.0,0.0,1
7.0,무약정,,미사용,62350.0,520418.0,375.0,0.0,3.0,1
4.0,무약정,자동이체,기가,57118.0,222267.0,192.0,3.0,,1
41.0,1년,자동이체,미사용,145214.0,6193517.0,223.0,6.0,3.0,1
38.0,무약정,신용카드,기가,70551.0,2747042.0,38.0,1.0,3.0,1
55.0,무약정,신용카드,광랜,46487.0,2885073.0,122.0,1.0,2.0,0
33.0,무약정,신용카드,미사용,134296.0,4602368.0,477.0,9.0,2.0,1
43.0,2년,지류,기가,46054.0,2174513.0,376.0,10.0,5.0,0
6.0,2년,,미사용,35406.0,244432.0,99.0,1.0,1.0,0
37.0,무약정,자동이체,기가,92233.0,3845664.0,48.0,6.0,5.0,1
70.0,2년,자동이체,기가,58683.0,3877244.0,38.0,2.0,0.0,0
20.0,1년,지류,미사용,102508.0,2010956.0,251.0,5.0,5.0,1
5.0,1년,신용카드,미사용,76969.0,361888.0,42.0,10.0,2.0,1
15.0,무약정,자동이체,광랜,109410.0,1908865.0,37.0,5.0,4.0,1
32.0,1년,지류,광랜,116908.0,3352147.0,439.0,6.0,5.0,1
33.0,1년,신용카드,미사용,94108.0,3147101.0,113.0,1.0,4.0,1
45.0,2년,신용카드,광랜,39709.0,1843179.0,218.0,0.0,1.0,0
61.0,2년,지류,광랜,132470.0,9153308.0,203.0,7.0,1.0,1
7.0,무약정,신용카드,광랜,59645.0,379998.0,192.0,2.0,2.0,1
56.0,무약정,지류,기가,35283.0,1774744.0,312.0,4.0,2.0,1
4.0,1년,지류,광랜,88701.0,337000.0,13.0,9.0,5.0,1
6.0,2년,신용카드,기가,23220.0,128864.0,203.0,0.0,4.0,0
59.0,무약정,자동이체,미사용,22186.0,1545363.0,351.0,5.0,4.0,0
31.0,1년,신용카드,광랜,70757.0,2186983.0,490.0,3.0,4.0,1
9.0,무약정,지류,기가,126291.0,,107.0,10.0,4.0,1
14.0,무약정,자동이체,광랜,139236.0,1615215.0,411.0,1.0,3.0,1
4.0,1년,지류,기가,32261.0,139376.0,331.0,10.0,2.0,1
18.0,2년,,,107053.0,1682631.0,195.0,7.0,1.0,1
48.0,1년,신용카드,미사용,,4146916.0,187.0,9.0,5.0,1
30.0,2년,자동이체,미사용,59008.0,1758322.0,194.0,7.0,2.0,0
57.0,무약정,지류,미사용,68450.0,3636927.0,223.0,4.0,0.0,1
60.0,1년,신용카드,광랜,116321.0,7120210.0,260.0,9.0,1.0,1
8.0,2년,신용카드,기가,51535.0,471007.0,428.0,8.0,3.0,1
9.0,무약정,신용카드,기가,142467.0,1062492.0,115.0,1.0,0.0,1
15.0,2년,자동이체,광랜,26150.0,369050.0,130.0,3.0,4.0,0
13.0,무약정,자동이체,광랜,43628.0,544311.0,,5.0,2.0,1
52.0,2년,신용카드,미사용,58258.0,3435013.0,35.0,2.0,,0
30.0,2년,지류,광랜,133289.0,4033724.0,444.0,3.0,2.0,1
32.0,2년,자동이체,미사용,21548.0,797411.0,367.0,4.0,3.0,0
39.0,1년,지류,,21908.0,976894.0,494.0,4.0,0.0,0
11.0,1년,자동이체,광랜,134380.0,1364152.0,444.0,1.0,2.0,1
9.0,2년,지류,미사용,83319.0,603827.0,114.0,10.0,3.0,1
41.0,1년,자동이체,광랜,138900.0,5222236.0,219.0,1.0,,1
26.0,,지류,기가,67370.0,1993085.0,239.0,7.0,3.0,1
39.0,1년,자동이체,미사용,109759.0,4535770.0,206.0,7.0,1.0,1
65.0,1년,신용카드,광랜,65157.0,4289630.0,18.0,3.0,1.0,0
19.0,,자동이체,기가,46161.0,882467.0,424.0,7.0,0.0,1
37.0,2년,자동이체,미사용,112395.0,4003386.0,398.0,2.0,3.0,0
31.0,1년,지류,기가,138886.0,4855316.0,267.0,3.0,1.0,1
7.0,2년,신용카드,광랜,44636.0,340043.0,376.0,4.0,3.0,1
16.0,2년,지류,광랜,93094.0,1695909.0,132.0,1.0,3.0,0
54.0,2년,지류,기가,131597.0,5962762.0,468.0,9.0,0.0,1
62.0,2년,신용카드,기가,133779.0,6914319.0,377.0,10.0,2.0,1
29.0,무약정,신용카드,기가,145336.0,4527143.0,204.0,9.0,5.0,1
6.0,2년,지류,광랜,110657.0,648475.0,405.0,1.0,5.0,1
2.0,무약정,자동이체,광랜,146878.0,349832.0,,6.0,5.0,1
64.0,무약정,,광랜,56813.0,3128508.0,217.0,2.0,4.0,1
,2년,지류,미사용,78463.0,4822709.0,191.0,1.0,2.0,0
22.0,무약정,자동이체,광랜,46217.0,912564.0,119.0,0.0,5.0,1
51.0,무약정,지류,기가,90445.0,5489782.0,324.0,8.0,2.0,1
53.0,1년,지류,광랜,104879.0,6236585.0,336.0,2.0,1.0,0
,1년,,광랜,109984.0,619436.0,379.0,1.0,3.0,1
24.0,무약정,지류,광랜,119430.0,3292233.0,209.0,7.0,3.0,1
3.0,2년,지류,미사용,109734.0,267572.0,159.0,2.0,1.0,1
2.0,1년,자동이체,미사용,88805.0,184008.0,337.0,6.0,3.0,1
45.0,2년,신용카드,기가,146119.0,6481713.0,103.0,8.0,3.0,1
45.0,2년,신용카드,기가,95818.0,4073496.0,166.0,9.0,0.0,1
51.0,무약정,지류,미사용,140226.0,6632058.0,405.0,10.0,0.0,1
25.0,1년,지류,미사용,145860.0,4017220.0,53.0,3.0,5.0,1
69.0,2년,자동이체,기가,139854.0,8095205.0,487.0,2.0,1.0,0
20.0,1년,신용카드,기가,95128.0,1930345.0,343.0,1.0,2.0,1
11.0,1년,자동이체,기가,117789.0,1296788.0,246.0,8.0,,1
49.0,2년,신용카드,광랜,42554.0,2357001.0,207.0,9.0,5.0,0
61.0,무약정,지류,기가,71623.0,5180613.0,105.0,3.0,2.0,1
8.0,,신용카드,기가,135109.0,1108458.0,203.0,4.0,3.0,1
21.0,무약정,신용카드,기가,29863.0,650012.0,223.0,6.0,1.0,1
29.0,1년,신용카드,미사용,85539.0,2569031.0,355.0,4.0,2.0,1
52.0,2년,신용카드,광랜,132091.0,7318357.0,341.0,6.0,1.0,1
72.0,1년,자동이체,기가,48546.0,3078354.0,322.0,5.0,0.0,0
17.0,2년,지류,기가,120953.0,2383041.0,336.0,8.0,1.0,1
44.0,1년,신용카드,기가,42321.0,1555588.0,11.0,7.0,2.0,1
2.0,2년,지류,광랜,132701.0,284741.0,399.0,3.0,4.0,1
1.0,2년,자동이체,미사용,26973.0,28037.0,335.0,1.0,0.0,1
70.0,무약정,신용카드,광랜,77668.0,5175839.0,353.0,7.0,2.0,0
3.0,2년,자동이체,기가,110648.0,337826.0,455.0,7.0,5.0,1
28.0,2년,신용카드,광랜,39347.0,1188091.0,284.0,4.0,3.0,0
5.0,1년,지류,기가,84584.0,496549.0,146.0,9.0,3.0,1
57.0,2년,지류,기가,124751.0,7840106.0,226.0,6.0,5.0,1
41.0,1년,지류,광랜,100374.0,3596692.0,167.0,4.0,4.0,1
62.0,2년,지류,미사용,43055.0,2832142.0,464.0,3.0,2.0,0
23.0,1년,지류,미사용,74928.0,1554554.0,298.0,6.0,,1
25.0,무약정,지류,광랜,35528.0,,189.0,,1.0,1
16.0,무약정,지류,기가,106734.0,1728390.0,383.0,10.0,4.0,1
11.0,1년,자동이체,미사용,82922.0,849333.0,246.0,10.0,2.0,1
6.0,무약정,신용카드,기가,23360.0,142421.0,490.0,6.0,4.0,1
71.0,무약정,자동이체,기가,130078.0,9900968.0,210.0,4.0,4.0,1
63.0,무약정,지류,,,5003139.0,159.0,7.0,4.0,1
55.0,2년,자동이체,기가,51746.0,3363261.0,96.0,6.0,2.0,0
38.0,무약정,신용카드,광랜,65196.0,2005649.0,239.0,8.0,3.0,1
53.0,2년,자동이체,기가,31724.0,1761061.0,11.0,10.0,,0
65.0,2년,자동이체,광랜,68733.0,3868954.0,202.0,8.0,1.0,0
35.0,,,광랜,103930.0,4029192.0,364.0,6.0,5.0,1
70.0,2년,자동이체,미사용,61979.0,4234068.0,432.0,2.0,1.0,0
24.0,무약정,지류,미사용,75132.0,1572454.0,24.0,8.0,1.0,1
58.0,,지류,미사용,59225.0,3528084.0,318.0,2.0,3.0,0
9.0,,자동이체,기가,80119.0,719102.0,50.0,9.0,4.0,1
24.0,2년,지류,미사용,35461.0,976534.0,361.0,8.0,1.0,1
31.0,무약정,지류,기가,111496.0,2828907.0,449.0,7.0,2.0,1
71.0,1년,신용카드,광랜,89703.0,6376948.0,85.0,0.0,3.0,0
3.0,1년,신용카드,광랜,53434.0,172164.0,333.0,5.0,3.0,1
7.0,무약정,자동이체,미사용,126278.0,756992.0,152.0,9.0,5.0,1
4.0,2년,지류,기가,109604.0,,56.0,4.0,2.0,1
68.0,1년,,광랜,80292.0,4377771.0,342.0,7.0,5.0,1
63.0,2년,자동이체,미사용,31312.0,1615956.0,,,,0
51.0,1년,신용카드,광랜,114286.0,6906635.0,360.0,6.0,4.0,1
1.0,1년,신용카드,광랜,33319.0,30616.0,152.0,5.0,0.0,1
63.0,무약정,지류,광랜,115281.0,6697913.0,336.0,4.0,4.0,1
30.0,2년,신용카드,미사용,33625.0,944769.0,479.0,0.0,5.0,0
26.0,2년,신용카드,광랜,108731.0,2390531.0,215.0,8.0,3.0,1
44.0,무약정,지류,미사용,75089.0,2772655.0,14.0,,3.0,1
39.0,2년,자동이체,기가,71576.0,2906941.0,293.0,10.0,2.0,0
,무약정,지류,기가,34214.0,2154731.0,484.0,9.0,4.0,1
63.0,2년,신용카드,기가,127249.0,7676988.0,202.0,0.0,1.0,0
60.0,2년,자동이체,기가,76036.0,5414112.0,204.0,4.0,5.0,0
4.0,2년,지류,기가,49573.0,189814.0,342.0,1.0,3.0,1
2.0,무약정,자동이체,미사용,45149.0,90649.0,149.0,2.0,1.0,1
13.0,무약정,신용카드,기가,24224.0,376690.0,155.0,7.0,5.0,1
63.0,무약정,지류,미사용,109849.0,8105509.0,397.0,1.0,5.0,1
7.0,2년,자동이체,미사용,145811.0,1144271.0,330.0,6.0,2.0,1
6.0,무약정,지류,광랜,68456.0,420352.0,190.0,6.0,1.0,1
58.0,무약정,자동이체,기가,133285.0,8085935.0,195.0,3.0,0.0,1
56.0,무약정,지류,미사용,48016.0,2476088.0,291.0,5.0,,1
14.0,무약정,지류,광랜,131972.0,1565846.0,195.0,9.0,5.0,1
,2년,지류,광랜,40029.0,1362018.0,415.0,3.0,1.0,0
70.0,1년,지류,미사용,49461.0,3391096.0,,,0.0,0
31.0,2년,지류,광랜,66372.0,2221239.0,419.0,5.0,2.0,1
26.0,1년,지류,기가,67471.0,1483332.0,156.0,0.0,5.0,0
60.0,무약정,신용카드,미사용,64745.0,3949104.0,254.0,8.0,5.0,1
63.0,1년,자동이체,기가,45406.0,2400459.0,386.0,1.0,0.0,0
37.0,2년,신용카드,미사용,60697.0,1956530.0,172.0,3.0,1.0,0
10.0,2년,신용카드,기가,32494.0,385837.0,468.0,6.0,0.0,0
69.0,2년,신용카드,기가,120114.0,6638377.0,481.0,8.0,5.0,0
21.0,무약정,자동이체,광랜,149844.0,3344711.0,108.0,1.0,5.0,1
14.0,2년,신용카드,광랜,57684.0,810767.0,334.0,10.0,0.0,1
30.0,2년,자동이체,기가,20076.0,707888.0,65.0,,2.0,0
37.0,2년,자동이체,미사용,149226.0,4483515.0,473.0,9.0,0.0,1
28.0,2년,신용카드,기가,142796.0,3646561.0,453.0,0.0,2.0,1
28.0,1년,신용카드,기가,46503.0,1168011.0,387.0,9.0,5.0,1
55.0,2년,신용카드,미사용,45582.0,2530171.0,214.0,5.0,5.0,0
35.0,1년,자동이체,광랜,76494.0,2559955.0,354.0,8.0,4.0,1
68.0,1년,신용카드,광랜,77569.0,5080584.0,100.0,4.0,0.0,0
58.0,2년,자동이체,광랜,95466.0,6504510.0,13.0,2.0,4.0,0
33.0,2년,자동이체,,55246.0,1721484.0,156.0,1.0,4.0,0
51.0,2년,자동이체,광랜,78597.0,4776974.0,467.0,0.0,2.0,0
2.0,2년,지류,광랜,114175.0,271776.0,434.0,8.0,5.0,1
51.0,2년,신용카드,광랜,124606.0,5153670.0,273.0,4.0,3.0,0
38.0,2년,신용카드,광랜,37076.0,1352583.0,413.0,10.0,0.0,1
33.0,2년,,광랜,74771.0,2479169.0,456.0,7.0,3.0,0
5.0,1년,자동이체,광랜,133749.0,721918.0,150.0,5.0,5.0,1
48.0,무약정,자동이체,광랜,54881.0,3081785.0,321.0,5.0,1.0,1
18.0,무약정,자동이체,기가,53601.0,931058.0,36.0,7.0,3.0,1
6.0,무약정,신용카드,광랜,136428.0,893237.0,414.0,7.0,4.0,1
47.0,무약정,지류,기가,54581.0,2416464.0,341.0,3.0,0.0,1
36.0,무약정,지류,미사용,66075.0,2561909.0,143.0,1.0,0.0,1
30.0,무약정,지류,기가,138534.0,4495950.0,498.0,1.0,4.0,1
16.0,1년,신용카드,미사용,20870.0,270127.0,432.0,6.0,3.0,0
14.0,무약정,,기가,,2346763.0,260.0,6.0,3.0,1
46.0,무약정,자동이체,광랜,33333.0,1572983.0,11.0,9.0,3.0,1
22.0,무약정,자동이체,광랜,90002.0,2195009.0,455.0,7.0,3.0,1
16.0,2년,신용카드,광랜,28543.0,443050.0,406.0,9.0,5.0,0
38.0,2년,신용카드,미사용,103412.0,,334.0,7.0,2.0,0
14.0,2년,지류,기가,135347.0,2109183.0,67.0,0.0,0.0,1
8.0,1년,자동이체,미사용,129919.0,1024981.0,259.0,7.0,1.0,1
58.0,2년,자동이체,기가,110431.0,6489601.0,,10.0,3.0,0
31.0,1년,신용카드,광랜,32482.0,1086312.0,52.0,4.0,2.0,0
41.0,,신용카드,기가,106815.0,4961151.0,372.0,10.0,1.0,1
34.0,1년,신용카드,광랜,107776.0,3490742.0,179.0,9.0,1.0,1
23.0,무약정,자동이체,미사용,119632.0,3083394.0,288.0,10.0,2.0,1
72.0,2년,신용카드,광랜,42417.0,2637567.0,433.0,8.0,3.0,0
12.0,,자동이체,기가,115363.0,1153253.0,227.0,9.0,3.0,1
38.0,무약정,지류,광랜,27349.0,907874.0,321.0,3.0,4.0,1
7.0,2년,자동이체,미사용,71201.0,,91.0,3.0,3.0,1
34.0,2년,자동이체,광랜,44354.0,1804667.0,449.0,3.0,2.0,0
48.0,1년,신용카드,미사용,78450.0,4258418.0,306.0,10.0,0.0,1
27.0,2년,지류,기가,66566.0,1841448.0,500.0,0.0,2.0,0
1.0,무약정,자동이체,미사용,102411.0,85913.0,430.0,1.0,1.0,1
35.0,1년,지류,미사용,63034.0,2315357.0,188.0,3.0,5.0,1
64.0,1년,자동이체,기가,80578.0,4402771.0,97.0,9.0,0.0,1
29.0,2년,자동이체,기가,64740.0,1787192.0,62.0,9.0,0.0,1
30.0,2년,지류,미사용,93705.0,3127159.0,294.0,4.0,3.0,1
60.0,무약정,지류,기가,27207.0,1408976.0,400.0,10.0,5.0,1
18.0,무약정,지류,기가,139424.0,2629898.0,242.0,3.0,2.0,1
65.0,2년,,기가,140732.0,7630606.0,404.0,,4.0,0
42.0,2년,지류,기가,38010.0,1635666.0,493.0,9.0,4.0,0
4.0,무약정,지류,미사용,85105.0,354133.0,115.0,4.0,0.0,1
54.0,무약정,신용카드,기가,125299.0,5944292.0,169.0,10.0,0.0,1
48.0,1년,지류,광랜,47881.0,2413438.0,462.0,6.0,3.0,1
6.0,무약정,신용카드,광랜,114301.0,585446.0,495.0,5.0,5.0,1
9.0,무약정,지류,기가,59071.0,592005.0,247.0,2.0,2.0,1
58.0,1년,지류,기가,66577.0,3793106.0,159.0,3.0,5.0,0
71.0,1년,신용카드,기가,144299.0,11802310.0,331.0,9.0,,1
34.0,무약정,신용카드,기가,39064.0,1445837.0,179.0,0.0,1.0,0
19.0,2년,지류,기가,68400.0,1082387.0,349.0,2.0,2.0,1
29.0,1년,자동이체,미사용,82566.0,2185095.0,440.0,8.0,4.0,1
39.0,1년,지류,미사용,111761.0,5188219.0,349.0,8.0,5.0,1
57.0,1년,,미사용,89710.0,5099679.0,203.0,1.0,2.0,0
13.0,2년,자동이체,기가,90678.0,1196345.0,361.0,2.0,2.0,1
31.0,무약정,지류,광랜,97436.0,2500990.0,269.0,8.0,5.0,1
50.0,무약정,신용카드,미사용,36104.0,1641557.0,341.0,6.0,5.0,0
72.0,,,미사용,103052.0,6448228.0,278.0,1.0,,0
48.0,2년,신용카드,기가,109727.0,5874992.0,183.0,10.0,5.0,1
25.0,2년,자동이체,기가,65983.0,1810651.0,60.0,2.0,,0
64.0,무약정,지류,광랜,58999.0,3652499.0,164.0,,5.0,1
12.0,무약정,자동이체,광랜,95627.0,1188572.0,215.0,2.0,5.0,1
,1년,지류,광랜,76838.0,,115.0,3.0,1.0,1
16.0,무약정,지류,광랜,41560.0,790883.0,407.0,3.0,2.0,1
29.0,2년,지류,미사용,82410.0,2268427.0,329.0,5.0,,1
44.0,2년,신용카드,광랜,138861.0,5740677.0,280.0,1.0,4.0,0
40.0,1년,신용카드,미사용,82810.0,2799188.0,326.0,6.0,1.0,1
64.0,2년,지류,미사용,121222.0,6521613.0,67.0,,2.0,0
68.0,2년,지류,광랜,149551.0,10945979.0,207.0,9.0,4.0,1
52.0,1년,지류,광랜,60031.0,2559692.0,110.0,8.0,0.0,1
20.0,2년,지류,미사용,40794.0,803596.0,205.0,6.0,2.0,0
34.0,2년,신용카드,기가,62310.0,1869052.0,194.0,10.0,1.0,1
40.0,무약정,자동이체,기가,76623.0,2749214.0,404.0,7.0,4.0,1
40.0,1년,자동이체,광랜,126043.0,4712030.0,89.0,1.0,4.0,0
47.0,2년,자동이체,광랜,145351.0,6704533.0,404.0,0.0,3.0,0
15.0,1년,지류,광랜,109828.0,1640523.0,62.0,0.0,0.0,1
60.0,무약정,신용카드,미사용,135753.0,7360621.0,477.0,8.0,2.0,1
