number,building_material,parking_spaces,subway_stations_1km,amenities_500m,school_score,price_eok
737,벽돌,2,2,9,8,29.9
738,목조,1,3,9,10,36
739,벽돌,1,3,1,4,23.1
740,벽돌,2,2,5,5,32
741,목조,2,2,9,4,30.9
742,목조,1,2,7,9,29.4
743,목조,1,0,6,7,16.5
744,목조,1,0,10,5,27.2
745,철근콘크리트,2,0,2,1,15.8
746,,2,3,10,7,36.2
747,벽돌,1,2,1,9,23.5
748,벽돌,2,3,14,3,25.1
749,철근콘크리트,,0,2,1,26.6
750,철근콘크리트,1,1,6,7,14.6
751,벽돌,1,0,4,10,18.8
752,철근콘크리트,2,1,4,1,31.9
753,목조,2,0,9,4,14.5
754,벽돌,1,1,1,5,26.1
755,벽돌,1,2,13,2,24.4
756,벽돌,2,0,6,5,28.8
757,철근콘크리트,1,2,6,5,18.5
758,철근콘크리트,2,2,9,8,20.9
759,벽돌,2,2,12,9,21.5
760,목조,2,0,8,1,31.5
761,벽돌,2,2,1,10,29.8
762,목조,2,0,12,8,14.5
763,목조,2,3,10,2,33.4
764,벽돌,1,3,0,5,25.4
765,철근콘크리트,2,1,8,1,32
766,철근콘크리트,2,3,9,3,36.6
767,목조,2,2,7,4,28.1
768,철근콘크리트,1,0,5,5,16.6
769,목조,2,3,0,2,35.4
770,목조,2,1,14,7,29.9
771,,2,2,1,6,37.3
772,철근콘크리트,1,3,7,1,23.5
773,철근콘크리트,2,2,6,6,29.1
774,목조,2,0,11,1,14.6
775,철근콘크리트,1,0,8,7,16.5
776,철근콘크리트,2,0,9,4,27.1
777,벽돌,3,0,10,1,28.3
778,목조,2,0,13,8,30.9
779,벽돌,1,0,1,1,23.1
780,철근콘크리트,1,1,5,6,17.1
781,철근콘크리트,1,1,6,9,30.3
782,목조,2,3,13,1,30.6
783,벽돌,1,1,5,6,22.5
784,목조,2,2,6,8,37.1
785,목조,2,1,13,9,29.3
786,철근콘크리트,3,3,6,1,28.7
787,벽돌,3,1,9,10,34.6
788,목조,1,0,14,8,20.9
789,목조,,2,13,8,23.6
790,목조,,2,14,6,33.6
791,목조,1,3,12,5,18.3
792,목조,1,1,7,7,24
793,철근콘크리트,1,0,11,10,32.3
794,벽돌,2,1,5,7,30.6
795,철근콘크리트,,3,14,9,24.5
796,벽돌,2,0,7,5,23.4
797,목조,1,3,3,10,20.8
798,목조,2,2,2,4,32.1
799,철근콘크리트,2,1,4,5,35.1
800,목조,2,1,7,4,20.6
801,철근콘크리트,2,3,0,3,26
802,철근콘크리트,2,2,7,8,38.3
803,벽돌,1,3,8,10,21
804,철근콘크리트,2,3,10,4,36.8
805,철근콘크리트,2,3,12,9,33.1
806,목조,1,3,12,7,26.8
807,벽돌,2,2,8,3,33.5
808,벽돌,1,2,5,10,29.1
809,벽돌,2,0,1,10,21
810,목조,2,1,0,6,26.3
811,벽돌,2,2,1,3,23.4
812,철근콘크리트,1,3,1,9,33.4
813,목조,2,1,13,6,30.5
814,철근콘크리트,3,1,7,8,34.3
815,목조,2,2,6,3,36.8
816,벽돌,1,1,5,5,21
817,철근콘크리트,2,0,4,4,22.5
818,목조,3,,11,1,39.9
819,,3,1,5,8,32.8
820,철근콘크리트,1,2,9,5,30.3
821,벽돌,2,3,10,5,42.2
822,철근콘크리트,2,0,4,2,26.7
823,목조,2,2,7,8,26.8
824,목조,2,0,7,4,14.5
825,벽돌,2,0,3,1,20.9
826,목조,1,1,3,1,23.6
827,목조,1,3,11,5,20
828,,1,1,4,8,19.6
829,벽돌,3,0,5,9,21.8
830,목조,2,2,7,5,43.4
831,목조,2,3,9,5,40.6
832,목조,1,0,11,5,13
833,목조,2,2,7,8,40
834,벽돌,2,0,1,10,28.3
835,벽돌,2,1,10,5,23.7
836,벽돌,3,1,14,5,26.4
837,목조,1,0,0,8,16.6
838,목조,1,1,10,4,18.8
839,벽돌,2,3,0,5,30.8
840,벽돌,2,2,13,2,27.2
841,벽돌,2,0,8,1,22.6
842,벽돌,1,0,5,10,28.5
843,벽돌,2,1,0,3,35.6
844,철근콘크리트,1,3,6,10,26.2
845,목조,1,2,5,4,24.1
846,철근콘크리트,2,2,8,2,19.8
847,철근콘크리트,2,2,9,4,27.4
848,철근콘크리트,3,1,14,8,41.1
849,벽돌,2,3,13,4,19.7
850,벽돌,2,3,3,4,32.8
851,철근콘크리트,2,1,7,6,33.2
852,벽돌,2,2,12,1,31.3
853,목조,2,0,13,10,28.8
854,철근콘크리트,2,3,7,3,26.6
855,목조,2,2,13,2,21.8
856,벽돌,1,3,10,10,31.1
857,벽돌,3,3,10,7,38.5
858,벽돌,1,1,11,7,27.5
859,철근콘크리트,1,0,7,9,21.8
860,철근콘크리트,3,3,11,2,35.7
861,목조,2,0,3,5,21.5
862,목조,2,1,10,1,21.7
863,,2,2,3,1,35.5
864,철근콘크리트,3,2,0,9,36.7
865,목조,2,2,1,2,18.8
866,목조,2,0,4,9,32.2
867,벽돌,1,1,11,1,29.9
868,목조,3,3,12,10,39.3
869,철근콘크리트,1,3,5,4,15.9
870,벽돌,2,0,2,8,29.6
871,벽돌,1,0,1,1,6.8
872,목조,1,3,5,1,18.7
873,목조,2,1,3,7,35.7
874,철근콘크리트,2,0,12,8,38
875,목조,2,3,2,2,36.2
876,철근콘크리트,2,1,14,5,26.5
877,목조,1,0,3,6,22.6
878,벽돌,2,0,13,1,29.1
879,철근콘크리트,1,1,7,3,15.9
880,벽돌,2,0,8,7,27
881,벽돌,2,3,4,1,25.9
882,철근콘크리트,2,0,3,1,14.1
883,벽돌,3,0,11,4,34
884,철근콘크리트,1,1,7,9,25.5
885,목조,1,3,8,8,32.3
886,목조,1,3,8,7,25
887,목조,2,1,3,2,31.2
888,목조,2,3,10,2,36.2
889,목조,2,0,9,1,16.8
890,목조,2,1,5,1,22.2
891,철근콘크리트,1,2,9,1,23
892,목조,2,3,7,6,36.6
893,벽돌,1,2,7,3,28.2
894,벽돌,2,2,1,8,35.3
895,벽돌,1,1,4,7,10.7
896,벽돌,3,3,14,6,45
897,목조,2,3,13,8,36
898,철근콘크리트,2,1,5,10,28.6
899,철근콘크리트,1,0,9,8,23.6
900,목조,1,0,8,1,20
901,벽돌,,2,7,8,38
902,목조,1,,6,1,17.1
903,철근콘크리트,3,0,8,2,26.6
904,벽돌,1,1,8,5,12.5
905,,2,2,0,9,29.4
906,벽돌,1,2,4,2,33.2
907,철근콘크리트,2,0,11,6,31.1
908,철근콘크리트,2,0,13,9,23.8
909,목조,2,3,2,8,38.8
910,철근콘크리트,2,1,4,5,19
911,목조,2,1,3,7,27.8
912,철근콘크리트,2,0,12,2,27
913,목조,1,1,8,6,17.3
914,벽돌,3,2,6,7,29.1
915,철근콘크리트,2,1,0,2,26.4
916,목조,1,3,4,5,27.2
917,목조,1,1,14,8,21.9
918,목조,2,1,0,10,19.4
919,벽돌,2,0,0,8,27.9
920,목조,2,0,10,9,37.1
921,목조,2,2,4,5,38.3
922,목조,1,,11,8,24.8
923,철근콘크리트,2,0,12,6,30.4
924,철근콘크리트,3,0,10,6,37.4
925,철근콘크리트,2,2,5,3,24.3
926,목조,2,3,10,7,31.6
927,벽돌,2,0,2,3,20.9
928,벽돌,2,0,0,4,29.4
929,벽돌,1,3,7,1,28.1
930,철근콘크리트,2,1,8,8,25.1
931,철근콘크리트,2,2,3,5,25.9
932,철근콘크리트,2,3,0,6,24.3
933,벽돌,2,3,14,2,31.2
934,벽돌,2,2,6,6,35.4
935,목조,1,1,0,8,30.8
936,벽돌,1,1,1,3,24.5
937,벽돌,2,2,12,10,38.1
938,벽돌,1,0,13,2,11
939,목조,2,2,7,8,32.5
940,벽돌,2,3,14,5,34.3
941,철근콘크리트,2,2,7,8,26.1
942,벽돌,1,3,9,3,22.3
943,철근콘크리트,2,3,9,4,24.8
944,철근콘크리트,2,2,2,4,17.8
945,철근콘크리트,2,3,7,8,42.7
946,철근콘크리트,1,1,5,2,12.3
947,철근콘크리트,3,,10,10,36.5
948,철근콘크리트,2,1,12,7,25.8
949,벽돌,2,0,10,1,25.7
950,철근콘크리트,2,3,11,8,36
951,철근콘크리트,2,1,6,10,34.1
952,벽돌,1,2,5,8,21
953,목조,2,2,9,4,28
954,목조,2,3,9,6,28.9
955,철근콘크리트,1,2,12,1,13.8
956,철근콘크리트,2,3,5,7,38.6
957,철근콘크리트,1,0,8,2,20.6
958,목조,1,0,0,8,18.4
959,벽돌,2,1,3,8,30.5
960,철근콘크리트,3,,2,10,31.7
961,벽돌,2,1,3,1,19.4
962,목조,1,2,5,7,34.3
963,철근콘크리트,2,0,12,5,18.8
964,목조,2,0,5,2,29.6
965,목조,2,0,10,4,13.1
966,벽돌,2,3,9,5,23.8
967,벽돌,2,0,0,9,24.5
968,,,1,3,1,29.3
969,철근콘크리트,2,1,3,9,28.4
970,목조,2,1,4,4,21.7
971,철근콘크리트,1,1,0,1,18.1
972,벽돌,,0,2,5,20.3
973,철근콘크리트,1,3,10,2,19.1
974,벽돌,2,1,6,5,26.2
975,철근콘크리트,2,0,7,8,14.5
976,벽돌,1,2,0,1,23.1
977,철근콘크리트,1,3,10,2,15
978,벽돌,2,2,5,9,40.2
979,철근콘크리트,3,3,13,10,44
980,,2,3,7,2,32
981,철근콘크리트,2,2,4,1,13.8
982,철근콘크리트,2,0,8,9,27.2
983,벽돌,3,0,1,2,26.4
984,목조,1,0,1,9,20.2
985,벽돌,2,1,14,9,29.1
986,철근콘크리트,1,1,12,9,14
987,벽돌,2,2,3,5,35.7
988,벽돌,1,1,13,8,32.8
989,철근콘크리트,1,0,5,8,19.2
990,철근콘크리트,2,3,9,9,32.4
991,목조,2,0,6,3,26.7
992,벽돌,2,1,5,4,35.2
993,벽돌,1,0,0,7,20
994,목조,1,0,4,8,24.7
995,철근콘크리트,2,2,2,5,18.4
996,목조,1,2,0,4,22.3
997,목조,1,3,11,2,22
998,목조,1,3,4,3,34.8
999,벽돌,2,2,12,7,35
1000,목조,2,1,7,9,30.2
1001,목조,1,2,5,10,27
1002,벽돌,2,1,10,2,27.3
1003,벽돌,2,2,13,5,20.1
1004,목조,2,2,9,4,27.1
1005,벽돌,2,1,11,7,24.6
1006,철근콘크리트,1,3,13,6,29.4
1007,철근콘크리트,3,2,7,1,38.3
1008,철근콘크리트,1,3,2,4,26.6
1009,벽돌,2,1,2,5,16.2
1010,철근콘크리트,2,0,10,8,26.5
1011,벽돌,2,3,2,5,29.2
1012,철근콘크리트,3,0,8,6,34.7
1013,철근콘크리트,2,0,8,2,21.4
1014,목조,2,2,12,6,34.4
1015,목조,2,1,12,4,23.8
1016,목조,2,2,14,7,44.1
1017,벽돌,2,0,11,2,15
1018,목조,1,3,14,9,23
1019,철근콘크리트,2,2,2,5,21.6
1020,벽돌,1,2,3,5,17.3
1021,벽돌,1,1,1,3,23.4
1022,벽돌,2,0,5,8,27.3
1023,벽돌,1,0,7,2,19.5
1024,철근콘크리트,1,2,13,5,29.3
1025,벽돌,2,,9,7,16.1
1026,벽돌,2,3,8,1,22.8
1027,철근콘크리트,2,1,10,4,34
1028,철근콘크리트,1,0,2,6,29
1029,벽돌,2,1,5,7,27.8
1030,목조,2,0,3,10,31.8
1031,철근콘크리트,2,2,13,10,39.1
1032,철근콘크리트,1,2,12,7,18.2
1033,벽돌,1,,3,3,29
1034,벽돌,2,2,1,2,31.8
1035,목조,1,3,2,6,24.3
1036,철근콘크리트,,3,7,10,32.4
1037,철근콘크리트,2,1,3,1,29.1
1038,목조,1,0,3,3,11.4
1039,목조,1,3,11,3,14.1
1040,,2,2,3,5,23.3
1041,목조,2,2,12,4,17.9
1042,목조,1,3,11,7,21.7
1043,목조,2,3,4,4,21.3
1044,벽돌,2,2,10,6,20.8
1045,목조,1,1,9,3,13.9
1046,목조,2,1,13,4,36.5
1047,,2,2,0,8,33.1
1048,벽돌,2,2,0,1,30.7
1049,철근콘크리트,1,3,2,5,27.4
1050,철근콘크리트,2,0,0,7,22.9
1051,철근콘크리트,2,2,1,1,19.8
1052,철근콘크리트,2,2,3,5,28.6
1053,목조,2,2,1,7,30.9
1054,목조,3,2,0,6,29.7
1055,목조,1,0,4,9,26.3
1056,목조,1,3,6,9,28.7
1057,목조,2,2,9,2,20.6
1058,벽돌,1,0,13,1,29.3
1059,벽돌,2,3,1,7,28.4
1060,벽돌,1,0,10,2,9.3
1061,목조,3,1,8,3,34.5
1062,철근콘크리트,1,3,14,5,26.5
1063,,1,2,11,9,24
1064,목조,3,3,11,3,25.7
1065,목조,3,0,12,2,26.3
1066,벽돌,,2,8,9,30.2
1067,철근콘크리트,1,2,9,3,21.3
1068,목조,2,2,11,7,34.8
1069,철근콘크리트,2,0,5,2,26.1
1070,벽돌,2,3,2,5,36
1071,목조,2,,7,2,29.5
1072,철근콘크리트,2,0,6,4,28
1073,철근콘크리트,,2,7,8,40.4
1074,벽돌,2,2,4,4,30.8
1075,철근콘크리트,1,1,6,6,13.2
1076,목조,1,1,9,3,22.2
1077,벽돌,1,0,7,8,25.5
1078,목조,2,3,0,6,42.4
1079,목조,1,3,10,6,29.4
1080,철근콘크리트,2,2,0,2,22.9
1081,목조,2,2,5,4,16
1082,목조,1,1,1,2,14.2
1083,목조,2,3,14,4,24.5
1084,벽돌,2,3,6,1,37.6
1085,목조,2,2,12,2,20.1
1086,목조,3,0,7,3,25
1087,목조,2,3,0,8,32.8
1088,철근콘크리트,2,1,4,5,23.1
1089,철근콘크리트,2,2,8,5,26.6
1090,벽돌,2,1,10,1,21.2
1091,철근콘크리트,1,2,9,9,31
1092,철근콘크리트,2,1,14,2,30.2
1093,목조,,2,5,4,13.4
1094,철근콘크리트,2,3,14,6,33.6
1095,,1,3,6,10,34.5
1096,목조,1,1,3,7,28.1
1097,벽돌,1,0,13,5,15.8
1098,벽돌,1,0,0,2,15.8
1099,목조,3,0,4,2,33.5
1100,벽돌,2,1,8,8,34.4
1101,목조,2,0,4,8,31.8
1102,목조,1,2,9,2,27.2
1103,철근콘크리트,2,2,8,7,39.3
1104,벽돌,1,2,7,6,30.1
1105,목조,1,3,5,8,26.3
1106,철근콘크리트,2,0,12,9,38.9
1107,벽돌,2,3,8,7,24.2
1108,철근콘크리트,2,1,12,5,36.8
1109,철근콘크리트,1,0,9,6,27.6
1110,벽돌,1,2,5,5,21.8
1111,목조,2,3,4,1,30.3
1112,목조,2,0,11,10,27.5
1113,철근콘크리트,,3,11,1,22.7
1114,벽돌,1,1,5,7,30.5
1115,벽돌,2,3,8,7,26.5
1116,벽돌,1,0,13,5,15.2
1117,철근콘크리트,2,,5,8,22.4
1118,목조,2,3,3,8,40.3
1119,철근콘크리트,2,3,4,3,28.2
1120,벽돌,2,0,2,9,22.4
1121,철근콘크리트,1,3,6,2,21
1122,철근콘크리트,2,2,12,6,38.1
1123,목조,2,0,2,9,33
1124,목조,2,1,6,6,33.1
1125,,1,,1,1,23.5
1126,목조,2,3,7,1,33.8
1127,철근콘크리트,2,3,4,6,31.2
1128,철근콘크리트,2,1,8,6,34.3
1129,목조,2,3,1,2,34.4
1130,벽돌,2,0,4,3,23.4
1131,벽돌,1,0,4,6,27.5
1132,목조,1,0,5,4,19.1
1133,철근콘크리트,3,1,5,2,29
1134,목조,1,0,5,1,14.6
1135,목조,2,0,7,4,25.3
1136,벽돌,3,3,9,5,39.2
1137,목조,3,1,6,10,34.7
1138,벽돌,3,0,8,5,26
1139,벽돌,3,3,2,8,40.7
1140,목조,2,0,8,5,24.8
1141,벽돌,1,3,3,8,21.7
1142,목조,2,3,4,7,35.6
1143,목조,1,3,0,5,20.9
1144,철근콘크리트,2,2,9,3,35.7
1145,철근콘크리트,2,1,6,10,24.8
1146,벽돌,1,3,3,2,32.6
1147,목조,2,0,6,10,22.9
1148,목조,2,3,12,10,37.5
1149,목조,1,1,6,10,28.6
1150,철근콘크리트,1,3,8,7,25.6
1151,목조,1,0,1,10,17.7
1152,벽돌,2,1,7,6,32.8
1153,벽돌,2,1,0,6,27.4
1154,벽돌,2,2,7,2,21.1
1155,,2,0,2,9,28.2
1156,벽돌,1,1,6,9,17.7
1157,철근콘크리트,2,0,11,10,21.7
1158,벽돌,2,1,7,4,32.1
1159,벽돌,1,2,5,5,15.5
1160,목조,1,2,14,9,30
1161,벽돌,2,2,3,7,34
1162,목조,2,3,9,3,32.2
1163,목조,2,2,9,3,37
1164,철근콘크리트,,0,1,6,19.8
1165,벽돌,1,0,5,10,23.1
1166,목조,1,0,7,1,15
1167,철근콘크리트,1,0,11,4,22.4
1168,벽돌,2,1,11,4,22.6
1169,목조,2,1,3,10,28.3
1170,벽돌,1,2,3,10,17.7
1171,목조,2,3,14,9,34
1172,벽돌,2,1,13,6,25.5
1173,벽돌,1,3,5,2,20.1
1174,철근콘크리트,2,1,0,8,42.3
1175,벽돌,2,,6,8,28.2
1176,철근콘크리트,1,0,5,1,16.8
1177,철근콘크리트,2,3,5,5,17.7
1178,철근콘크리트,1,3,6,6,26.2
1179,철근콘크리트,1,0,13,2,10.7
1180,벽돌,1,3,14,5,34
1181,철근콘크리트,2,3,4,8,27.7
1182,벽돌,3,2,7,2,37.2
1183,벽돌,3,2,6,3,36.6
1184,목조,3,3,4,1,26.7
1185,목조,3,2,5,4,37.7
1186,철근콘크리트,1,1,2,10,21.1
1187,벽돌,2,1,12,3,25.2
1188,목조,2,,7,1,28.7
1189,,3,0,7,6,29.7
1190,철근콘크리트,1,3,0,4,20.6
1191,목조,2,2,7,5,30.8
1192,목조,2,0,9,5,24
1193,벽돌,2,0,9,5,20.9
1194,벽돌,1,1,8,8,20.2
1195,목조,2,0,4,3,23.6
1196,철근콘크리트,1,,11,10,23.1
1197,벽돌,2,2,4,2,21.9
1198,철근콘크리트,2,3,14,5,31
1199,목조,1,2,3,8,27.8
1200,목조,2,2,6,8,26.4
1201,벽돌,2,,5,3,26.9
1202,목조,2,3,7,5,25.3
1203,벽돌,1,0,14,5,23.1
1204,벽돌,1,2,0,6,26.3
1205,목조,2,1,5,7,23.5
1206,철근콘크리트,3,0,11,2,35.9
1207,벽돌,2,1,14,1,35.9
1208,철근콘크리트,1,0,7,5,19.2
1209,목조,2,3,8,2,22.7
1210,벽돌,1,1,10,8,15.4
1211,목조,1,3,11,2,23.3
1212,목조,1,2,0,8,30
1213,목조,2,0,11,2,21.4
1214,철근콘크리트,1,1,13,5,25.1
1215,철근콘크리트,1,1,12,8,26.1
1216,철근콘크리트,2,2,0,10,32.3
1217,철근콘크리트,2,1,8,10,31.1
1218,벽돌,3,1,13,4,22.8
1219,벽돌,2,2,11,8,37.8
1220,철근콘크리트,2,2,13,3,39.3
1221,목조,2,1,2,8,31.3
1222,목조,1,1,6,1,23
1223,목조,1,0,9,9,15.2
1224,목조,2,0,5,10,21.2
1225,벽돌,2,1,4,7,29.1
1226,벽돌,2,3,14,1,31.5
1227,철근콘크리트,1,1,12,1,24.2
1228,벽돌,2,0,2,6,28.8
1229,벽돌,1,0,1,9,30
1230,벽돌,2,1,12,6,26.7
1231,목조,2,1,6,5,36.8
1232,벽돌,1,,12,10,27.3
1233,철근콘크리트,2,1,12,10,30.5
1234,철근콘크리트,3,0,12,3,33.6
1235,목조,2,1,4,8,27.8
1236,목조,1,0,10,6,26.5
1237,벽돌,2,1,10,6,27.4
1238,벽돌,1,2,10,3,23.8
1239,철근콘크리트,2,3,12,9,38.1
1240,목조,2,3,8,5,26.3
1241,철근콘크리트,2,3,9,2,32.5
1242,철근콘크리트,1,0,6,4,22.1
1243,벽돌,1,0,8,10,21.9
1244,철근콘크리트,2,3,0,1,25.1
1245,벽돌,3,3,6,5,38.5
1246,철근콘크리트,2,2,14,3,25
1247,목조,3,1,3,10,35.6
1248,철근콘크리트,1,2,2,8,16.5
1249,벽돌,1,3,5,5,24.4
1250,목조,2,3,3,10,41.4
1251,목조,1,1,1,1,20.4
1252,목조,2,0,12,2,27.4
1253,벽돌,2,3,0,8,32.7
1254,벽돌,2,0,2,7,27.5
1255,목조,1,1,4,1,13.5
1256,벽돌,2,1,10,4,34
1257,철근콘크리트,2,0,7,6,22.3
1258,,1,2,3,8,29.5
1259,목조,2,2,5,10,42.3
1260,목조,1,3,4,7,32.5
1261,벽돌,1,3,0,10,23.4
1262,벽돌,2,0,7,2,32.5
1263,목조,1,2,7,5,21.6
1264,목조,2,2,5,4,27.4
1265,목조,2,3,11,2,28.4
1266,목조,3,0,14,9,36.9
1267,벽돌,,1,3,3,21
1268,철근콘크리트,2,1,8,5,29.4
1269,철근콘크리트,2,3,10,8,37.6
1270,철근콘크리트,2,0,11,7,25.4
1271,철근콘크리트,1,2,0,8,21.4
1272,목조,1,2,4,3,29.5
1273,목조,2,1,13,8,27
1274,목조,2,2,0,4,28
1275,철근콘크리트,2,0,3,2,20.8
1276,철근콘크리트,2,0,6,2,26.8
1277,철근콘크리트,1,1,14,5,29.3
1278,목조,1,2,9,2,20.7
1279,철근콘크리트,1,2,12,8,18.1
1280,벽돌,2,0,7,9,26.1
1281,철근콘크리트,2,1,2,10,42.8
1282,철근콘크리트,2,2,13,5,28.6
1283,목조,3,3,6,1,33.7
1284,벽돌,3,3,7,7,28.5
1285,,2,3,6,1,31.8
1286,벽돌,,3,10,3,40.6
1287,목조,2,0,10,10,35.6
1288,목조,1,0,0,2,21
1289,목조,1,1,1,2,17.1
1290,철근콘크리트,2,3,5,2,32.2
1291,벽돌,1,1,5,6,18.8
1292,철근콘크리트,2,2,3,6,29.1
1293,벽돌,3,2,7,3,30.6
1294,철근콘크리트,3,3,5,1,38.6
1295,목조,1,3,7,8,32.9
1296,목조,1,0,14,5,21.6
1297,벽돌,2,2,10,9,39.7
1298,목조,2,1,0,9,31.5
1299,벽돌,2,2,11,10,32.8
1300,철근콘크리트,3,0,9,10,38.3
1301,벽돌,1,0,5,3,15
1302,벽돌,2,2,1,8,43.6
1303,목조,2,0,14,3,21.5
1304,목조,2,1,0,5,14.4
1305,철근콘크리트,2,3,2,3,39
1306,벽돌,1,1,14,7,31.1
1307,벽돌,2,2,10,1,26.6
1308,벽돌,1,1,9,4,21.4
1309,목조,2,3,13,5,32.6
1310,벽돌,2,3,5,1,17.9
1311,목조,2,0,7,7,22.4
1312,벽돌,1,0,3,8,23.4
1313,벽돌,1,1,7,2,24.6
1314,벽돌,2,3,1,7,31.3
1315,벽돌,2,0,1,2,25.3
1316,목조,1,1,2,10,27.8
1317,목조,1,2,11,4,35.2
1318,철근콘크리트,1,0,7,6,21.2
1319,철근콘크리트,1,3,11,9,28.1
1320,벽돌,2,1,1,2,21.1
1321,벽돌,2,1,3,6,36.6
1322,벽돌,2,1,7,10,24.8
1323,철근콘크리트,2,1,9,2,16.7
1324,목조,2,0,1,2,22.6
1325,벽돌,1,0,5,8,12.1
1326,목조,1,3,1,5,25.4
1327,벽돌,2,0,13,3,22.1
1328,벽돌,2,1,0,6,20.7
1329,벽돌,2,2,13,9,34.3
1330,철근콘크리트,2,3,5,6,39.7
1331,목조,1,3,9,3,24.2
1332,철근콘크리트,,0,5,7,21.2
1333,,2,2,5,3,33.1
1334,철근콘크리트,2,3,5,5,24.2
1335,목조,,2,0,10,31.9
1336,목조,2,1,2,6,30.1
1337,목조,3,2,9,7,37.1
1338,목조,2,2,10,6,21
1339,목조,3,1,9,2,22.4
1340,철근콘크리트,2,2,5,3,37.9
1341,벽돌,2,1,6,1,32.4
1342,목조,2,1,0,2,22.3
1343,철근콘크리트,1,1,5,2,22.4
1344,벽돌,1,2,3,1,26.6
1345,벽돌,2,2,0,5,31.6
1346,벽돌,1,0,11,6,15.7
1347,철근콘크리트,2,2,7,4,23.3
1348,철근콘크리트,1,3,7,6,30.6
1349,목조,1,2,3,2,19.4
1350,목조,1,1,0,9,22
1351,벽돌,2,1,5,10,24
1352,벽돌,2,0,3,5,19.6
1353,철근콘크리트,2,1,6,8,31.4
1354,,2,0,6,3,24.2
1355,철근콘크리트,2,1,14,7,33.5
1356,철근콘크리트,1,0,9,3,15.2
1357,목조,2,0,7,10,38.4
1358,철근콘크리트,1,2,0,10,21.6
1359,목조,1,1,3,3,20.2
1360,철근콘크리트,1,2,11,10,29.8
1361,철근콘크리트,1,3,0,2,21.3
1362,목조,2,0,11,10,31.1
1363,철근콘크리트,1,0,3,8,13.8
1364,벽돌,1,0,11,6,20.9
1365,철근콘크리트,3,1,14,1,24.3
1366,벽돌,2,0,7,7,33.6
1367,목조,2,2,4,6,35.8
1368,철근콘크리트,1,2,7,1,20.8
1369,철근콘크리트,1,1,4,9,17.3
1370,벽돌,2,1,13,2,27.7
1371,철근콘크리트,2,0,5,7,31.1
1372,철근콘크리트,1,0,12,9,19.7
1373,목조,1,2,10,1,18.5
1374,철근콘크리트,1,2,7,7,27.6
1375,벽돌,1,,7,4,18.2
1376,벽돌,2,0,4,10,27.1
1377,철근콘크리트,2,2,12,5,30.7
1378,철근콘크리트,2,1,5,2,34.4
1379,철근콘크리트,,,13,9,23.7
1380,철근콘크리트,2,3,6,10,40.3
1381,목조,2,1,10,7,32.1
1382,철근콘크리트,2,0,14,6,17
1383,목조,2,1,5,6,32.8
1384,벽돌,2,3,13,3,37
1385,철근콘크리트,3,1,4,2,29.1
1386,목조,1,0,11,2,28.9
1387,목조,2,0,5,7,24.3
1388,철근콘크리트,2,0,13,1,19.5
1389,벽돌,1,0,6,3,12.5
1390,벽돌,2,1,3,2,27.7
1391,벽돌,2,1,0,4,19.1
1392,목조,2,0,7,4,17.9
1393,목조,3,2,6,10,35.9
1394,목조,2,3,1,1,30.6
1395,철근콘크리트,1,0,2,10,18.2
1396,목조,2,1,13,8,19
1397,목조,1,3,6,2,24.6
1398,철근콘크리트,1,3,0,10,24.3
1399,벽돌,2,2,0,9,39.1
1400,목조,2,1,7,10,31.3
1401,벽돌,1,2,0,8,31.9
1402,벽돌,,,8,4,28.6
1403,목조,1,0,6,4,16.1
1404,철근콘크리트,1,0,7,10,26.2
1405,철근콘크리트,2,3,2,4,28.4
1406,철근콘크리트,,2,13,5,38.8
1407,벽돌,2,0,14,9,33.8
1408,목조,3,3,13,2,41.8
1409,목조,2,1,0,4,35.3
1410,벽돌,1,,6,9,33.4
1411,목조,3,2,4,4,26.5
1412,벽돌,1,2,13,1,28.4
1413,벽돌,2,3,2,1,19.8
1414,철근콘크리트,2,,12,9,25.4
1415,목조,1,1,2,3,12.2
1416,목조,2,1,4,9,24.9
1417,벽돌,2,3,7,2,19.4
1418,,2,3,10,1,33.1
1419,벽돌,1,1,7,2,17.4
1420,철근콘크리트,2,2,0,3,25
1421,목조,2,0,11,9,29.3
1422,철근콘크리트,2,0,10,1,20.3
1423,철근콘크리트,,0,0,8,12.3
1424,목조,2,0,3,10,21.7
1425,철근콘크리트,1,3,11,4,23.7
1426,목조,2,1,7,8,34.9
1427,벽돌,1,1,9,3,21.2
1428,철근콘크리트,2,0,12,2,26.6
1429,철근콘크리트,2,0,1,3,17.3
1430,목조,2,2,2,9,31.1
1431,목조,1,3,9,8,23.6
1432,벽돌,2,3,5,8,27.4
1433,,1,2,13,5,28.8
1434,벽돌,1,0,11,9,18.6
1435,목조,3,3,13,1,30.5
1436,벽돌,1,0,3,8,22
1437,철근콘크리트,2,2,5,9,31.1
1438,벽돌,3,1,3,4,34
1439,벽돌,3,0,14,6,24.2
1440,철근콘크리트,1,1,4,7,29.6
1441,철근콘크리트,2,0,8,8,28.5
1442,벽돌,2,1,6,1,14.8
1443,철근콘크리트,1,0,10,4,17.2
1444,벽돌,2,2,8,4,36.7
1445,,1,2,2,6,21.6
1446,철근콘크리트,2,,14,1,33.8
1447,목조,1,3,11,10,27.6
1448,벽돌,2,3,7,9,36.8
1449,목조,2,3,12,5,29.7
1450,목조,2,0,13,7,20.7
1451,목조,1,0,0,1,16.5
1452,벽돌,1,0,9,10,24.7
