고객ID,연령,성별,지역,가입기간,월요금,총요금,상담횟수,데이터사용량,계약유형,해지여부
C00421,27,남성,경기,2,95000,190000,5,4.5,약정없음,1
C00422,44,여성,대구,12,68000,816000,2,16.7,1년약정,0
C00423,59,남성,서울,66,120000,7920000,1,60.1,2년약정,0
C00424,35,여성,기타,18,77500,1395000,3,22.3,1년약정,0
C00425,22,남성,부산,4,58000,232000,4,8.9,약정없음,1
C00426,49,여성,경기,40,91000,3640000,0,35.4,2년약정,0
C00427,33,남성,서울,1,112000,,6,12.1,약정없음,1
C00428,61,여성,대구,55,83000,4565000,1,40.2,2년약정,0
C00429,26,남성,기타,10,49000,490000,2,14,약정없음,0
C00430,40,여성,부산,2,86000,172000,5,3.8,약정없음,1
C00431,32,남성,서울,24,65500,1572000,1,15.2,1년약정,0
C00432,55,여성,경기,2,89000,178000,5,5,약정없음,1
C00433,28,남성,부산,48,45200,2169600,0,22.1,2년약정,0
C00434,41,여성,서울,1,105300,105300,4,8.5,약정없음,1
C00435,62,남성,기타,12,75000,,2,10.2,약정없음,0
C00436,19,여성,경기,6,55000,330000,3,12.5,약정없음,1
C00437,45,남성,대구,72,99900,7192800,1,45.6,2년약정,0
C00438,37,여성,서울,15,82100,1231500,2,18.9,1년약정,0
C00439,50,남성,부산,3,60500,181500,6,3.2,약정없음,1
C00440,24,여성,경기,36,40000,1440000,0,30.5,1년약정,0
C00441,33,남성,서울,10,78200,782000,3,11,약정없음,1
C00442,,여성,기타,5,92500,462500,4,6.7,약정없음,1
C00443,42,남성,서울,60,110000,6600000,1,55.2,2년약정,0
C00444,29,여성,부산,24,55000,1320000,2,25.4,1년약정,0
C00445,65,남성,경기,1,45000,,5,1.2,약정없음,1
C00446,38,여성,서울,48,88500,4248000,0,33.1,2년약정,0
C00447,21,남성,대구,8,62000,496000,3,14.5,약정없음,1
C00448,47,여성,기타,30,72300,2169000,1,28.7,1년약정,0
C00449,53,남성,부산,14,85000,1190000,4,19.2,약정없음,1
C00450,31,여성,서울,5,42000,210000,2,10.8,약정없음,0
C00451,27,남성,경기,2,95000,190000,5,4.5,약정없음,1
C00452,44,여성,대구,12,68000,816000,2,16.7,1년약정,0
C00453,59,남성,서울,66,120000,7920000,1,60.1,2년약정,0
C00454,35,여성,기타,18,77500,1395000,3,22.3,1년약정,0
C00455,22,남성,부산,4,58000,232000,4,8.9,약정없음,1
C00456,49,여성,경기,40,91000,3640000,0,35.4,2년약정,0
C00457,33,남성,서울,1,112000,,6,12.1,약정없음,1
C00458,61,여성,대구,55,83000,4565000,1,40.2,2년약정,0
C00459,26,남성,기타,10,49000,490000,2,14,약정없음,0
C00460,40,여성,부산,2,86000,172000,5,3.8,약정없음,1
C00461,32,여성,서울,24,65500,1572000,1,15.2,1년약정,0
C00462,55,남성,경기,2,89000,178000,5,5,약정없음,1
C00463,28,여성,부산,48,45200,2169600,0,22.1,2년약정,0
C00464,41,남성,서울,1,105300,105300,4,8.5,약정없음,1
C00465,62,여성,기타,12,75000,,2,10.2,약정없음,0
C00466,19,남성,경기,6,55000,330000,3,12.5,약정없음,1
C00467,45,여성,대구,72,99900,7192800,1,45.6,2년약정,0
C00468,37,남성,서울,15,82100,1231500,2,18.9,1년약정,0
C00469,50,여성,부산,3,60500,181500,6,3.2,약정없음,1
C00470,24,남성,경기,36,40000,1440000,0,30.5,1년약정,0
C00471,33,여성,서울,10,78200,782000,3,11,약정없음,1
C00472,58,남성,기타,5,92500,462500,4,6.7,약정없음,1
C00473,42,여성,서울,60,110000,6600000,1,55.2,2년약정,0
C00474,29,남성,부산,24,55000,1320000,2,25.4,1년약정,0
C00475,,여성,경기,1,45000,,5,1.2,약정없음,1
C00476,38,남성,서울,48,88500,4248000,0,33.1,2년약정,0
C00477,21,여성,대구,8,62000,496000,3,14.5,약정없음,1
C00478,47,남성,기타,30,72300,2169000,1,28.7,1년약정,0
C00479,53,여성,부산,14,85000,1190000,4,19.2,약정없음,1
C00480,31,남성,서울,5,42000,210000,2,10.8,약정없음,0
C00481,32,남성,서울,24,65500,1572000,1,15.2,1년약정,0
C00482,55,여성,경기,2,89000,178000,5,5,약정없음,1
C00483,28,남성,부산,48,45200,2169600,0,22.1,2년약정,0
C00484,41,여성,서울,1,105300,105300,4,8.5,약정없음,1
C00485,62,남성,기타,12,75000,,2,10.2,약정없음,0
C00486,19,여성,경기,6,55000,330000,3,12.5,약정없음,1
C00487,45,남성,대구,72,99900,7192800,1,45.6,2년약정,0
C00488,37,여성,서울,15,82100,1231500,2,18.9,1년약정,0
C00489,50,남성,부산,3,60500,181500,6,3.2,약정없음,1
C00490,24,여성,경기,36,40000,1440000,0,30.5,1년약정,0
C00491,33,남성,서울,10,78200,782000,3,11,약정없음,1
C00492,58,여성,기타,5,92500,462500,4,6.7,약정없음,1
C00493,42,남성,서울,60,110000,6600000,1,55.2,2년약정,0
C00494,29,여성,부산,24,55000,1320000,2,25.4,1년약정,0
C00495,65,남성,경기,1,45000,,5,1.2,약정없음,1
C00496,38,여성,서울,48,88500,4248000,0,33.1,2년약정,0
C00497,21,남성,대구,8,62000,496000,3,14.5,약정없음,1
C00498,47,여성,기타,30,72300,2169000,1,28.7,1년약정,0
C00499,53,남성,부산,14,85000,1190000,4,19.2,약정없음,1
C00500,38,남성,서울,12,77000,924000,3,18.5,약정없음,1
C00501,42,여성,서울,24,68000,1632000,1,20.2,1년약정,0
C00502,33,남성,경기,3,92000,276000,5,6.5,약정없음,1
C00503,50,여성,부산,60,55000,3300000,0,45.2,2년약정,0
C00504,26,남성,서울,2,108000,216000,4,8.1,약정없음,1
C00505,61,여성,기타,15,82000,,2,15.8,약정없음,0
C00506,22,남성,경기,8,60000,480000,3,13.2,약정없음,1
C00507,48,여성,대구,72,105000,7560000,1,62.1,2년약정,0
C00508,35,남성,서울,20,84000,1680000,2,25.4,1년약정,0
C00509,54,여성,부산,4,63500,254000,6,5.2,약정없음,1
C00510,29,남성,경기,36,44000,1584000,0,32.7,1년약정,0
C00511,,여성,서울,12,79000,948000,3,16.5,약정없음,1
C00512,63,남성,기타,6,95000,570000,4,9.2,약정없음,1
C00513,45,여성,서울,48,115000,5520000,1,58.3,2년약정,0
C00514,31,남성,부산,24,58000,1392000,2,28.7,1년약정,0
C00515,67,여성,경기,1,48000,,5,2.5,약정없음,1
C00516,40,남성,서울,55,91000,5005000,0,42.1,2년약정,0
C00517,24,여성,대구,10,65000,650000,3,18,약정없음,1
C00518,49,남성,기타,36,75000,2700000,1,35.2,1년약정,0
C00519,56,여성,부산,18,88000,1584000,4,22.1,약정없음,1
C00520,33,남성,서울,6,45000,270000,2,14.5,약정없음,0
C00521,28,여성,경기,3,99000,297000,5,5.8,약정없음,1
C00522,46,남성,대구,15,72000,1080000,2,20.1,1년약정,0
C00523,60,여성,서울,66,125000,8250000,1,65.2,2년약정,0
C00524,37,남성,기타,24,80000,1920000,3,30.2,1년약정,0
C00525,23,여성,부산,5,62000,310000,4,11.5,약정없음,1
C00526,51,남성,경기,42,94000,3948000,0,40.1,2년약정,0
C00527,35,여성,서울,1,118000,,6,15.2,약정없음,1
C00528,64,남성,대구,60,86000,5160000,1,48.2,2년약정,0
C00529,29,여성,기타,12,52000,624000,2,16.5,약정없음,0
C00530,42,남성,부산,2,89500,179000,5,4.9,약정없음,1
C00531,31,여성,서울,18,72000,1296000,1,22.5,1년약정,0
C00532,44,남성,경기,1,105000,105000,6,8.4,약정없음,1
C00533,29,여성,부산,36,48000,1728000,0,30.2,2년약정,0
C00534,52,남성,기타,2,93500,187000,5,4.2,약정없음,1
C00535,37,여성,대구,14,66000,,2,15.8,약정없음,0
C00536,25,남성,서울,5,81000,405000,4,11.2,약정없음,1
C00537,60,여성,경기,60,112000,6720000,1,58.9,2년약정,0
C00538,43,남성,부산,24,78000,1872000,2,26.4,1년약정,0
C00539,21,여성,서울,3,99500,298500,5,7.1,약정없음,1
C00540,55,남성,기타,48,53000,2544000,0,38.2,2년약정,0
C00541,34,여성,대구,10,82500,825000,3,14.5,약정없음,1
C00542,47,남성,서울,1,118000,118000,6,12,약정없음,1
C00543,19,여성,경기,12,42000,504000,2,10.1,1년약정,0
C00544,65,남성,부산,24,96000,2304000,1,33.5,1년약정,0
C00545,39,여성,대구,4,75000,,4,9.2,약정없음,1
C00546,28,남성,서울,36,58000,2088000,0,35.2,2년약정,0
C00547,,여성,경기,2,102000,204000,5,6.1,약정없음,1
C00548,33,남성,부산,15,77000,1155000,2,19.2,1년약정,0
C00549,45,여성,서울,1,120000,120000,6,15.8,약정없음,1
C00550,22,남성,기타,8,62000,496000,3,11.5,약정없음,1
C00551,32,여성,서울,24,65500,1572000,1,15.2,1년약정,0
C00552,55,남성,경기,2,89000,178000,5,5,약정없음,1
C00553,28,여성,부산,48,45200,2169600,0,22.1,2년약정,0
C00554,41,남성,서울,1,105300,105300,4,8.5,약정없음,1
C00555,62,여성,기타,12,75000,,2,10.2,약정없음,0
C00556,19,남성,경기,6,55000,330000,3,12.5,약정없음,1
C00557,45,여성,대구,72,99900,7192800,1,45.6,2년약정,0
C00558,37,남성,서울,15,82100,1231500,2,18.9,1년약정,0
C00559,50,여성,부산,3,60500,181500,6,3.2,약정없음,1
C00560,24,남성,경기,36,40000,1440000,0,30.5,1년약정,0
C00561,33,여성,서울,10,78200,782000,3,11,약정없음,1
C00562,58,남성,기타,5,92500,462500,4,6.7,약정없음,1
C00563,42,여성,서울,60,110000,6600000,1,55.2,2년약정,0
C00564,29,남성,부산,24,55000,1320000,2,25.4,1년약정,0
C00565,65,여성,경기,1,45000,,5,1.2,약정없음,1
C00566,38,남성,서울,48,88500,4248000,0,33.1,2년약정,0
C00567,21,여성,대구,8,62000,496000,3,14.5,약정없음,1
C00568,47,남성,기타,30,72300,2169000,1,28.7,1년약정,0
C00569,53,여성,부산,14,85000,1190000,4,19.2,약정없음,1
C00570,31,남성,서울,5,42000,210000,2,10.8,약정없음,0
C00571,27,여성,경기,2,95000,190000,5,4.5,약정없음,1
C00572,44,남성,대구,12,68000,816000,2,16.7,1년약정,0
C00573,59,여성,서울,66,120000,7920000,1,60.1,2년약정,0
C00574,35,남성,기타,18,77500,1395000,3,22.3,1년약정,0
C00575,22,여성,부산,4,58000,232000,4,8.9,약정없음,1
C00576,49,남성,경기,40,91000,3640000,0,35.4,2년약정,0
C00577,33,여성,서울,1,112000,,6,12.1,약정없음,1
C00578,61,남성,대구,55,83000,4565000,1,40.2,2년약정,0
C00579,26,여성,기타,10,49000,490000,2,14,약정없음,0
C00580,40,남성,부산,2,86000,172000,5,3.8,약정없음,1
C00581,32,여성,서울,24,65500,1572000,1,15.2,1년약정,0
C00582,55,남성,경기,2,89000,178000,5,5,약정없음,1
C00583,28,여성,부산,48,45200,2169600,0,22.1,2년약정,0
C00584,41,남성,서울,1,105300,105300,4,8.5,약정없음,1
C00585,62,여성,기타,12,75000,,2,10.2,약정없음,0
C00586,19,남성,경기,6,55000,330000,3,12.5,약정없음,1
C00587,45,여성,대구,72,99900,7192800,1,45.6,2년약정,0
C00588,37,남성,서울,15,82100,1231500,2,18.9,1년약정,0
C00589,50,여성,부산,3,60500,181500,6,3.2,약정없음,1
C00590,24,남성,경기,36,40000,1440000,0,30.5,1년약정,0
C00591,33,여성,서울,10,78200,782000,3,11,약정없음,1
C00592,58,남성,기타,5,92500,462500,4,6.7,약정없음,1
C00593,42,여성,서울,60,110000,6600000,1,55.2,2년약정,0
C00594,29,남성,부산,24,55000,1320000,2,25.4,1년약정,0
C00595,65,여성,경기,1,45000,,5,1.2,약정없음,1
C00596,38,남성,서울,48,88500,4248000,0,33.1,2년약정,0
C00597,21,여성,대구,8,62000,496000,3,14.5,약정없음,1
C00598,,남성,기타,30,72300,2169000,1,28.7,1년약정,0
C00599,53,여성,부산,14,85000,1190000,4,19.2,약정없음,1
C00600,31,남성,서울,5,42000,210000,2,10.8,약정없음,0
C00601,32,남성,서울,24,65500,1572000,1,15.2,1년약정,0
C00602,55,여성,경기,2,89000,178000,5,5,약정없음,1
C00603,28,남성,부산,48,45200,2169600,0,22.1,2년약정,0
C00604,41,여성,서울,1,105300,105300,4,8.5,약정없음,1
C00605,62,남성,기타,12,75000,,2,10.2,약정없음,0
C00606,19,여성,경기,6,55000,330000,3,12.5,약정없음,1
C00607,45,남성,대구,72,99900,7192800,1,45.6,2년약정,0
C00608,37,여성,서울,15,82100,1231500,2,18.9,1년약정,0
C00609,50,남성,부산,3,60500,181500,6,3.2,약정없음,1
C00610,24,여성,경기,36,40000,1440000,0,30.5,1년약정,0
C00611,33,남성,서울,10,78200,782000,3,11,약정없음,1
C00612,58,여성,기타,5,92500,462500,4,6.7,약정없음,1
C00613,42,남성,서울,60,110000,6600000,1,55.2,2년약정,0
C00614,29,여성,부산,24,55000,1320000,2,25.4,1년약정,0
C00615,65,남성,경기,1,45000,,5,1.2,약정없음,1
C00616,38,여성,서울,48,88500,4248000,0,33.1,2년약정,0
C00617,21,남성,대구,8,62000,496000,3,14.5,약정없음,1
C00618,47,여성,기타,30,72300,2169000,1,28.7,1년약정,0
C00619,53,남성,부산,14,85000,1190000,4,19.2,약정없음,1
C00620,31,여성,서울,5,42000,210000,2,10.8,약정없음,0
C00621,27,남성,경기,2,95000,190000,5,4.5,약정없음,1
C00622,44,여성,대구,12,68000,816000,2,16.7,1년약정,0
C00623,59,남성,서울,66,120000,7920000,1,60.1,2년약정,0
C00624,35,여성,기타,18,77500,1395000,3,22.3,1년약정,0
C00625,22,남성,부산,4,58000,232000,4,8.9,약정없음,1
C00626,49,여성,경기,40,91000,3640000,0,35.4,2년약정,0
C00627,33,남성,서울,1,112000,,6,12.1,약정없음,1
C00628,61,여성,대구,55,83000,4565000,1,40.2,2년약정,0
C00629,26,남성,기타,10,49000,490000,2,14,약정없음,0
C00630,40,여성,부산,2,86000,172000,5,3.8,약정없음,1
C00631,,남성,서울,24,65500,1572000,1,15.2,1년약정,0
C00632,55,여성,경기,2,89000,178000,5,5,약정없음,1
C00633,28,남성,부산,48,45200,2169600,0,22.1,2년약정,0
C00634,41,여성,서울,1,105300,105300,4,8.5,약정없음,1
C00635,62,남성,기타,12,75000,,2,10.2,약정없음,0
C00636,19,여성,경기,6,55000,330000,3,12.5,약정없음,1
C00637,45,남성,대구,72,99900,7192800,1,45.6,2년약정,0
C00638,37,여성,서울,15,82100,1231500,2,18.9,1년약정,0
C00639,50,남성,부산,3,60500,181500,6,3.2,약정없음,1
C00640,24,여성,경기,36,40000,1440000,0,30.5,1년약정,0
C00641,33,남성,서울,10,78200,782000,3,11,약정없음,1
C00642,58,여성,기타,5,92500,462500,4,6.7,약정없음,1
C00643,42,남성,서울,60,110000,6600000,1,55.2,2년약정,0
C00644,29,여성,부산,24,55000,1320000,2,25.4,1년약정,0
C00645,65,남성,경기,1,45000,,5,1.2,약정없음,1
C00646,38,여성,서울,48,88500,4248000,0,33.1,2년약정,0
C00647,21,남성,대구,8,62000,496000,3,14.5,약정없음,1
C00648,47,여성,기타,30,72300,2169000,1,28.7,1년약정,0
C00649,,남성,부산,14,85000,1190000,4,19.2,약정없음,1
C00650,31,여성,서울,5,42000,210000,2,10.8,약정없음,0
C00651,27,남성,경기,2,95000,190000,5,4.5,약정없음,1
C00652,44,여성,대구,12,68000,816000,2,16.7,1년약정,0
C00653,59,남성,서울,66,120000,7920000,1,60.1,2년약정,0
C00654,35,여성,기타,18,77500,1395000,3,22.3,1년약정,0
C00655,22,남성,부산,4,58000,232000,4,8.9,약정없음,1
C00656,49,여성,경기,40,91000,3640000,0,35.4,2년약정,0
C00657,33,남성,서울,1,112000,,6,12.1,약정없음,1
C00658,61,여성,대구,55,83000,4565000,1,40.2,2년약정,0
C00659,26,남성,기타,10,49000,490000,2,14,약정없음,0
C00660,40,여성,부산,2,86000,172000,5,3.8,약정없음,1
C00661,32,여성,서울,24,65500,1572000,1,15.2,1년약정,0
C00662,55,남성,경기,2,89000,178000,5,5,약정없음,1
C00663,28,여성,부산,48,45200,2169600,0,22.1,2년약정,0
C00664,41,남성,서울,1,105300,105300,4,8.5,약정없음,1
C00665,62,여성,기타,12,75000,,2,10.2,약정없음,0
C00666,,남성,경기,6,55000,330000,3,12.5,약정없음,1
C00667,45,여성,대구,72,99900,7192800,1,45.6,2년약정,0
C00668,37,남성,서울,15,82100,1231500,2,18.9,1년약정,0
C00669,50,여성,부산,3,60500,181500,6,3.2,약정없음,1
C00670,24,남성,경기,36,40000,1440000,0,30.5,1년약정,0
C00671,33,여성,서울,10,78200,782000,3,11,약정없음,1
C00672,58,남성,기타,5,92500,462500,4,6.7,약정없음,1
C00673,42,여성,서울,60,110000,6600000,1,55.2,2년약정,0
C00674,29,남성,부산,24,55000,1320000,2,25.4,1년약정,0
C00675,65,여성,경기,1,45000,,5,1.2,약정없음,1
C00676,38,남성,서울,48,88500,4248000,0,33.1,2년약정,0
C00677,21,여성,대구,8,62000,496000,3,14.5,약정없음,1
C00678,47,남성,기타,30,72300,2169000,1,28.7,1년약정,0
C00679,53,여성,부산,14,85000,1190000,4,19.2,약정없음,1
C00680,31,남성,서울,5,42000,210000,2,10.8,약정없음,0
C00681,32,남성,서울,24,65500,1572000,1,15.2,1년약정,0
C00682,55,여성,경기,2,89000,178000,5,5,약정없음,1
C00683,28,남성,부산,48,45200,2169600,0,22.1,2년약정,0
C00684,,여성,서울,1,105300,105300,4,8.5,약정없음,1
C00685,62,남성,기타,12,75000,,2,10.2,약정없음,0
C00686,19,여성,경기,6,55000,330000,3,12.5,약정없음,1
C00687,45,남성,대구,72,99900,7192800,1,45.6,2년약정,0
C00688,37,여성,서울,15,82100,1231500,2,18.9,1년약정,0
C00689,50,남성,부산,3,60500,181500,6,3.2,약정없음,1
C00690,24,여성,경기,36,40000,1440000,0,30.5,1년약정,0
C00691,33,남성,서울,10,78200,782000,3,11,약정없음,1
C00692,58,여성,기타,5,92500,462500,4,6.7,약정없음,1
C00693,42,남성,서울,60,110000,6600000,1,55.2,2년약정,0
C00694,29,여성,부산,24,55000,1320000,2,25.4,1년약정,0
C00695,65,남성,경기,1,45000,,5,1.2,약정없음,1
C00696,38,여성,서울,48,88500,4248000,0,33.1,2년약정,0
C00697,21,남성,대구,8,62000,496000,3,14.5,약정없음,1
C00698,47,여성,기타,30,72300,2169000,1,28.7,1년약정,0
C00699,53,남성,부산,14,85000,1190000,4,19.2,약정없음,1
C00700,31,여성,서울,5,42000,210000,2,10.8,약정없음,0
C00701,42,남성,서울,24,68000,1632000,1,20.2,1년약정,0
C00702,,여성,경기,3,92000,276000,5,6.5,약정없음,1
C00703,50,남성,부산,60,55000,3300000,0,45.2,2년약정,0
C00704,26,여성,서울,2,108000,216000,4,8.1,약정없음,1
C00705,61,남성,기타,15,82000,,2,15.8,약정없음,0
C00706,22,여성,경기,8,60000,480000,3,13.2,약정없음,1
C00707,48,남성,부산,72,105000,7560000,1,62.1,2년약정,0
C00708,35,여성,서울,20,84000,1680000,2,25.4,1년약정,0
C00709,54,남성,대구,4,63500,254000,6,5.2,약정없음,1
C00710,29,여성,경기,36,44000,1584000,0,32.7,1년약정,0
C00711,38,남성,서울,12,79000,948000,3,16.5,약정없음,1
C00712,63,여성,기타,6,95000,570000,4,9.2,약정없음,1
C00713,45,남성,서울,48,115000,5520000,1,58.3,2년약정,0
C00714,31,여성,부산,24,58000,1392000,2,28.7,1년약정,0
C00715,67,남성,경기,1,48000,,5,2.5,약정없음,1
C00716,40,여성,서울,55,91000,5005000,0,42.1,2년약정,0
C00717,24,남성,대구,10,65000,650000,3,18,약정없음,1
C00718,49,여성,기타,36,75000,2700000,1,35.2,1년약정,0
C00719,56,남성,부산,18,88000,1584000,4,22.1,약정없음,1
C00720,,여성,서울,6,45000,270000,2,14.5,약정없음,0
C00721,28,남성,경기,3,99000,297000,5,5.8,약정없음,1
C00722,46,여성,대구,15,72000,1080000,2,20.1,1년약정,0
C00723,60,남성,서울,66,125000,8250000,1,65.2,2년약정,0
C00724,37,여성,기타,24,80000,1920000,3,30.2,1년약정,0
C00725,23,남성,부산,5,62000,310000,4,11.5,약정없음,1
C00726,51,여성,경기,42,94000,3948000,0,40.1,2년약정,0
C00727,35,남성,서울,1,118000,,6,15.2,약정없음,1
C00728,64,여성,대구,60,86000,5160000,1,48.2,2년약정,0
C00729,29,남성,기타,12,52000,624000,2,16.5,약정없음,0
C00730,42,여성,부산,2,89500,179000,5,4.9,약정없음,1
C00731,31,남성,서울,18,72000,1296000,1,22.5,1년약정,0
C00732,44,여성,경기,1,105000,105000,6,8.4,약정없음,1
C00733,29,남성,부산,36,48000,1728000,0,30.2,2년약정,0
C00734,52,여성,기타,2,93500,187000,5,4.2,약정없음,1
C00735,37,남성,대구,14,66000,,2,15.8,약정없음,0
C00736,25,여성,서울,5,81000,405000,4,11.2,약정없음,1
C00737,60,남성,경기,60,112000,6720000,1,58.9,2년약정,0
C00738,,여성,부산,24,78000,1872000,2,26.4,1년약정,0
C00739,21,남성,서울,3,99500,298500,5,7.1,약정없음,1
C00740,55,여성,기타,48,53000,2544000,0,38.2,2년약정,0
C00741,34,남성,대구,10,82500,825000,3,14.5,약정없음,1
C00742,47,여성,서울,1,118000,118000,6,12,약정없음,1
C00743,19,남성,경기,12,42000,504000,2,10.1,1년약정,0
C00744,65,여성,부산,24,96000,2304000,1,33.5,1년약정,0
C00745,39,남성,대구,4,75000,,4,9.2,약정없음,1
C00746,28,여성,서울,36,58000,2088000,0,35.2,2년약정,0
C00747,51,남성,경기,2,102000,204000,5,6.1,약정없음,1
C00748,33,여성,부산,15,77000,1155000,2,19.2,1년약정,0
C00749,45,남성,서울,1,120000,120000,6,15.8,약정없음,1
C00750,22,여성,기타,8,62000,496000,3,11.5,약정없음,1
C00751,32,남성,서울,24,65500,1572000,1,15.2,1년약정,0
C00752,55,여성,경기,2,89000,178000,5,5,약정없음,1
C00753,28,남성,부산,48,45200,2169600,0,22.1,2년약정,0
C00754,41,여성,서울,1,105300,105300,4,8.5,약정없음,1
C00755,62,남성,기타,12,75000,,2,10.2,약정없음,0
C00756,,여성,경기,6,55000,330000,3,12.5,약정없음,1
C00757,45,남성,대구,72,99900,7192800,1,45.6,2년약정,0
C00758,37,여성,서울,15,82100,1231500,2,18.9,1년약정,0
C00759,50,남성,부산,3,60500,181500,6,3.2,약정없음,1
C00760,24,여성,경기,36,40000,1440000,0,30.5,1년약정,0
C00761,33,남성,서울,10,78200,782000,3,11,약정없음,1
C00762,58,여성,기타,5,92500,462500,4,6.7,약정없음,1
C00763,42,남성,서울,60,110000,6600000,1,55.2,2년약정,0
C00764,29,여성,부산,24,55000,1320000,2,25.4,1년약정,0
C00765,65,남성,경기,1,45000,,5,1.2,약정없음,1
C00766,38,여성,서울,48,88500,4248000,0,33.1,2년약정,0
C00767,21,남성,대구,8,62000,496000,3,14.5,약정없음,1
C00768,47,여성,기타,30,72300,2169000,1,28.7,1년약정,0
C00769,53,남성,부산,14,85000,1190000,4,19.2,약정없음,1
C00770,31,여성,서울,5,42000,210000,2,10.8,약정없음,0
C00771,27,남성,경기,2,95000,190000,5,4.5,약정없음,1
C00772,44,여성,대구,12,68000,816000,2,16.7,1년약정,0
C00773,59,남성,서울,66,120000,7920000,1,60.1,2년약정,0
C00774,35,여성,기타,18,77500,1395000,3,22.3,1년약정,0
C00775,22,남성,부산,4,58000,232000,4,8.9,약정없음,1
C00776,49,여성,경기,40,91000,3640000,0,35.4,2년약정,0
C00777,33,남성,서울,1,112000,,6,12.1,약정없음,1
C00778,61,여성,대구,55,83000,4565000,1,40.2,2년약정,0
C00779,26,남성,기타,10,49000,490000,2,14,약정없음,0
C00780,40,여성,부산,2,86000,172000,5,3.8,약정없음,1
C00781,32,여성,서울,24,65500,1572000,1,15.2,1년약정,0
C00782,55,남성,경기,2,89000,178000,5,5,약정없음,1
C00783,28,여성,부산,48,45200,2169600,0,22.1,2년약정,0
C00784,41,남성,서울,1,105300,105300,4,8.5,약정없음,1
C00785,62,여성,기타,12,75000,,2,10.2,약정없음,0
C00786,19,남성,경기,6,55000,330000,3,12.5,약정없음,1
C00787,45,여성,대구,72,99900,7192800,1,45.6,2년약정,0
C00788,37,남성,서울,15,82100,1231500,2,18.9,1년약정,0
C00789,,여성,부산,3,60500,181500,6,3.2,약정없음,1
C00790,24,남성,경기,36,40000,1440000,0,30.5,1년약정,0
C00791,33,여성,서울,10,78200,782000,3,11,약정없음,1
C00792,58,남성,기타,5,92500,462500,4,6.7,약정없음,1
C00793,42,여성,서울,60,110000,6600000,1,55.2,2년약정,0
C00794,29,남성,부산,24,55000,1320000,2,25.4,1년약정,0
C00795,65,여성,경기,1,45000,,5,1.2,약정없음,1
C00796,38,남성,서울,48,88500,4248000,0,33.1,2년약정,0
C00797,21,여성,대구,8,62000,496000,3,14.5,약정없음,1
C00798,47,남성,기타,30,72300,2169000,1,28.7,1년약정,0
C00799,53,여성,부산,14,85000,1190000,4,19.2,약정없음,1
C00800,31,남성,서울,5,42000,210000,2,10.8,약정없음,0
C00801,32,남성,서울,24,65500,1572000,1,15.2,1년약정,0
C00802,55,여성,경기,2,89000,178000,5,5,약정없음,1
C00803,28,남성,부산,48,45200,2169600,0,22.1,2년약정,0
C00804,41,여성,서울,1,105300,105300,4,8.5,약정없음,1
C00805,62,남성,기타,12,75000,,2,10.2,약정없음,0
C00806,19,여성,경기,6,55000,330000,3,12.5,약정없음,1
C00807,,남성,대구,72,99900,7192800,1,45.6,2년약정,0
C00808,37,여성,서울,15,82100,1231500,2,18.9,1년약정,0
C00809,50,남성,부산,3,60500,181500,6,3.2,약정없음,1
C00810,24,여성,경기,36,40000,1440000,0,30.5,1년약정,0
C00811,33,남성,서울,10,78200,782000,3,11,약정없음,1
C00812,58,여성,기타,5,92500,462500,4,6.7,약정없음,1
C00813,42,남성,서울,60,110000,6600000,1,55.2,2년약정,0
C00814,29,여성,부산,24,55000,1320000,2,25.4,1년약정,0
C00815,65,남성,경기,1,45000,,5,1.2,약정없음,1
C00816,38,여성,서울,48,88500,4248000,0,33.1,2년약정,0
C00817,21,남성,대구,8,62000,496000,3,14.5,약정없음,1
C00818,47,여성,기타,30,72300,2169000,1,28.7,1년약정,0
C00819,53,남성,부산,14,85000,1190000,4,19.2,약정없음,1
C00820,31,여성,서울,5,42000,210000,2,10.8,약정없음,0
C00821,27,남성,경기,2,95000,190000,5,4.5,약정없음,1
C00822,44,여성,대구,12,68000,816000,2,16.7,1년약정,0
C00823,59,남성,서울,66,120000,7920000,1,60.1,2년약정,0
C00824,35,여성,기타,18,77500,1395000,3,22.3,1년약정,0
C00825,,남성,부산,4,58000,232000,4,8.9,약정없음,1
C00826,49,여성,경기,40,91000,3640000,0,35.4,2년약정,0
C00827,33,남성,서울,1,112000,,6,12.1,약정없음,1
C00828,61,여성,대구,55,83000,4565000,1,40.2,2년약정,0
C00829,26,남성,기타,10,49000,490000,2,14,약정없음,0
C00830,40,여성,부산,2,86000,172000,5,3.8,약정없음,1
C00831,32,남성,서울,24,65500,1572000,1,15.2,1년약정,0
C00832,55,여성,경기,2,89000,178000,5,5,약정없음,1
C00833,28,남성,부산,48,45200,2169600,0,22.1,2년약정,0
C00834,41,여성,서울,1,105300,105300,4,8.5,약정없음,1
C00835,62,남성,기타,12,75000,,2,10.2,약정없음,0
C00836,19,여성,경기,6,55000,330000,3,12.5,약정없음,1
C00837,45,남성,대구,72,99900,7192800,1,45.6,2년약정,0
C00838,37,여성,서울,15,82100,1231500,2,18.9,1년약정,0
C00839,50,남성,부산,3,60500,181500,6,3.2,약정없음,1
C00840,24,여성,경기,36,40000,1440000,0,30.5,1년약정,0
C00841,33,남성,서울,10,78200,782000,3,11,약정없음,1
